latitude,longitude
34.25125, 108.99544
34.25125, 108.99537
34.25125, 108.99515
34.25125, 108.99488
34.25125, 108.99464
34.25119, 108.99441
34.25118, 108.99413
34.25118, 108.99384
34.25117, 108.99353
34.25117, 108.99327
34.25117, 108.99311
34.25117, 108.99297
34.25117, 108.99287
34.25117, 108.99274
34.25117, 108.99262
34.25117, 108.99243
34.25117, 108.99229
34.25117, 108.99216
34.25117, 108.99200
34.25116, 108.99174
34.25116, 108.99155
34.25116, 108.99140
34.25116, 108.99127
34.25116, 108.99117
34.25116, 108.99070
34.25116, 108.99052
34.25116, 108.99035
34.25116, 108.99023
34.25116, 108.98996
34.25116, 108.98981
34.25116, 108.98972
34.25116, 108.98960
34.25116, 108.98949
34.25116, 108.98933
34.25116, 108.98911
34.25116, 108.98898
34.25116, 108.98888
34.25116, 108.98870
34.25116, 108.98855
34.25116, 108.98839
34.25116, 108.98829
34.25112, 108.98810
34.25111, 108.98794
34.25111, 108.98781
34.25110, 108.98763
34.25109, 108.98734
34.25108, 108.98697
34.25107, 108.98660
34.25105, 108.98625
34.25104, 108.98595
34.25103, 108.98571
34.25103, 108.98561
34.25102, 108.98543
34.25101, 108.98518
34.25101, 108.98501
34.25101, 108.98483
34.25101, 108.98473
34.25101, 108.98464
34.25101, 108.98451
34.25101, 108.98439
34.25101, 108.98410
34.25101, 108.98364
34.25101, 108.98319
34.25101, 108.98280
34.25101, 108.98245
34.25101, 108.98213
34.25101, 108.98196
34.25101, 108.98186
34.25101, 108.98170
34.25101, 108.98144
34.25101, 108.98122
34.25101, 108.98089
34.25101, 108.98060
34.25101, 108.98033
34.25101, 108.98012
34.25101, 108.97993
34.25101, 108.97981
34.25101, 108.97972
34.25101, 108.97957
34.25105, 108.97923
34.25105, 108.97907
34.25105, 108.97883
34.25105, 108.97858
34.25105, 108.97827
34.25105, 108.97794
34.25105, 108.97762
34.25105, 108.97728
34.25104, 108.97653
34.25104, 108.97622
34.25104, 108.97603
34.25104, 108.97588
34.25104, 108.97559
34.25104, 108.97532
34.25104, 108.97498
34.25110, 108.97462
34.25111, 108.97417
34.25112, 108.97370
34.25113, 108.97338
34.25113, 108.97318
34.25113, 108.97302
34.25113, 108.97293
34.25113, 108.97277
34.25113, 108.97268
34.25120, 108.97245
34.25132, 108.97245
34.25153, 108.97245
34.25176, 108.97245
34.25206, 108.97245
34.25245, 108.97244
34.25292, 108.97243
34.25340, 108.97242
34.25384, 108.97240
34.25426, 108.97238
34.25468, 108.97238
34.25502, 108.97239
34.25534, 108.97240
34.25603, 108.97244
34.25636, 108.97250
34.25672, 108.97254
34.25700, 108.97256
34.25725, 108.97258
34.25749, 108.97260
34.25772, 108.97262
34.25797, 108.97264
34.25821, 108.97267
34.25845, 108.97269
34.25861, 108.97270
34.25883, 108.97273
34.25908, 108.97274
34.25917, 108.97275
34.25928, 108.97276
34.25937, 108.97258
34.25969, 108.97230
34.25986, 108.97217
34.26000, 108.97178
34.26000, 108.97151
34.26000, 108.97126
34.26011, 108.97116
34.26028, 108.97114
34.26048, 108.97113
34.26076, 108.97110
34.26112, 108.97107
34.26150, 108.97106
34.26220, 108.97105
34.26249, 108.97105
34.26279, 108.97105
34.26311, 108.97104
34.26336, 108.97104
34.26347, 108.97103
34.26364, 108.97103
34.26379, 108.97102
34.26395, 108.97102
34.26410, 108.97109
34.26410, 108.97132
34.26426, 108.97158
34.26444, 108.97145
34.26445, 108.97134
34.26447, 108.97115
34.26447, 108.97096
34.26447, 108.97087
34.26447, 108.97072
34.26447, 108.97051
34.26447, 108.97031
34.26441, 108.97010
34.26441, 108.96991
34.26441, 108.96966
34.26441, 108.96927
34.26441, 108.96893
34.26441, 108.96867
34.26441, 108.96835
34.26441, 108.96805
34.26441, 108.96780
34.26441, 108.96758
34.26441, 108.96742
34.26441, 108.96730
34.26436, 108.96713
34.26459, 108.96701
34.26477, 108.96700
34.26484, 108.96700
34.26497, 108.96700
34.26519, 108.96699
34.26552, 108.96698
34.26599, 108.96646
34.26598, 108.96614
34.26597, 108.96578
34.26596, 108.96544
34.26596, 108.96526
