latitude,longitude
34.21769, 108.96085
34.21757, 108.96086
34.21748, 108.96086
34.21729, 108.96086
34.21705, 108.96086
34.21665, 108.96087
34.21647, 108.96088
34.21627, 108.96089
34.21606, 108.96089
34.21584, 108.96090
34.21560, 108.96091
34.21539, 108.96092
34.21512, 108.96092
34.21478, 108.96093
34.21442, 108.96094
34.21404, 108.96095
34.21366, 108.96096
34.21320, 108.96097
34.21291, 108.96097
34.21272, 108.96098
34.21241, 108.96098
34.21230, 108.96099
34.21216, 108.96099
34.21208, 108.96099
34.21197, 108.96099
34.21185, 108.96099
34.21179, 108.96100
34.21173, 108.96090
34.21173, 108.96077
34.21173, 108.96056
34.21173, 108.96030
34.21173, 108.96008
34.21173, 108.95983
34.21172, 108.95953
34.21172, 108.95926
34.21172, 108.95904
34.21172, 108.95887
34.21172, 108.95878
34.21172, 108.95855
34.21172, 108.95833
34.21172, 108.95811
34.21172, 108.95793
34.21172, 108.95783
34.21172, 108.95773
34.21172, 108.95751
34.21172, 108.95734
34.21172, 108.95719
34.21172, 108.95708
34.21172, 108.95688
34.21172, 108.95675
34.21171, 108.95664
34.21170, 108.95629
34.21170, 108.95601
34.21170, 108.95581
34.21170, 108.95565
34.21170, 108.95555
34.21170, 108.95542
34.21170, 108.95529
34.21170, 108.95519
34.21170, 108.95499
34.21171, 108.95484
34.21171, 108.95456
34.21172, 108.95430
34.21172, 108.95406
34.21173, 108.95373
34.21173, 108.95342
34.21173, 108.95322
34.21174, 108.95282
34.21174, 108.95243
34.21174, 108.95216
34.21174, 108.95187
34.21174, 108.95151
34.21174, 108.95112
34.21175, 108.95065
34.21176, 108.95033
34.21176, 108.94989
34.21175, 108.94925
34.21175, 108.94896
34.21174, 108.94870
34.21172, 108.94844
34.21172, 108.94831
34.21172, 108.94821
34.21172, 108.94812
34.21172, 108.94801
34.21172, 108.94792
34.21171, 108.94777
34.21171, 108.94765
34.21170, 108.94742
34.21167, 108.94709
34.21164, 108.94688
34.21163, 108.94671
34.21145, 108.94658
34.21121, 108.94658
34.21101, 108.94659
34.21054, 108.94661
34.21019, 108.94661
34.20984, 108.94661
34.20961, 108.94661
34.20926, 108.94661
34.20899, 108.94661
34.20881, 108.94661
34.20838, 108.94660
34.20812, 108.94660
34.20784, 108.94659
34.20765, 108.94659
34.20725, 108.94659
34.20694, 108.94659
34.20662, 108.94659
