latitude,longitude
34.21454, 108.93543
34.21454, 108.93534
34.21454, 108.93518
34.21454, 108.93501
34.21454, 108.93487
34.21454, 108.93477
34.21454, 108.93450
34.21454, 108.93426
34.21454, 108.93402
34.21454, 108.93388
34.21454, 108.93378
34.21454, 108.93359
34.21454, 108.93345
34.21454, 108.93327
34.21454, 108.93309
34.21453, 108.93292
34.21453, 108.93273
34.21453, 108.93254
34.21453, 108.93233
34.21453, 108.93219
34.21453, 108.93197
34.21460, 108.93186
34.21485, 108.93186
34.21512, 108.93186
34.21542, 108.93186
34.21574, 108.93186
34.21609, 108.93186
34.21643, 108.93186
34.21667, 108.93186
34.21680, 108.93187
34.21689, 108.93187
34.21700, 108.93187
34.21715, 108.93187
34.21733, 108.93187
34.21749, 108.93188
34.21762, 108.93189
34.21774, 108.93190
34.21789, 108.93191
34.21801, 108.93192
34.21821, 108.93192
34.21831, 108.93193
34.21856, 108.93194
34.21888, 108.93194
34.21912, 108.93194
34.21942, 108.93194
34.21980, 108.93194
34.22025, 108.93194
34.22059, 108.93194
34.22095, 108.93193
34.22122, 108.93193
34.22149, 108.93194
34.22174, 108.93195
34.22203, 108.93197
34.22234, 108.93198
34.22257, 108.93199
34.22276, 108.93200
34.22292, 108.93200
34.22308, 108.93201
34.22323, 108.93201
34.22344, 108.93201
34.22366, 108.93202
34.22391, 108.93202
34.22417, 108.93202
34.22444, 108.93202
34.22474, 108.93202
34.22502, 108.93203
34.22528, 108.93203
34.22552, 108.93203
34.22577, 108.93203
34.22597, 108.93203
34.22608, 108.93203
34.22615, 108.93203
34.22628, 108.93203
34.22650, 108.93203
34.22700, 108.93202
34.22725, 108.93202
34.22749, 108.93202
