latitude,longitude
34.25087, 108.93252
34.25088, 108.93265
34.25088, 108.93274
34.25080, 108.93293
34.25080, 108.93313
34.25080, 108.93338
34.25080, 108.93357
34.25080, 108.93387
34.25080, 108.93419
34.25080, 108.93452
34.25080, 108.93484
34.25080, 108.93517
34.25080, 108.93547
34.25080, 108.93572
34.25080, 108.93586
34.25080, 108.93597
34.25080, 108.93612
34.25080, 108.93633
34.25080, 108.93659
34.25080, 108.93695
34.25080, 108.93776
34.25079, 108.93811
34.25079, 108.93833
34.25079, 108.93860
34.25079, 108.93873
34.25079, 108.93882
34.25079, 108.93898
34.25088, 108.93921
34.25098, 108.93921
34.25115, 108.93920
34.25138, 108.93919
34.25166, 108.93918
34.25196, 108.93923
34.25229, 108.93917
34.25252, 108.93917
34.25301, 108.93916
34.25326, 108.93915
34.25338, 108.93915
34.25405, 108.93914
34.25447, 108.93914
34.25488, 108.93912
34.25524, 108.93912
34.25558, 108.93912
34.25583, 108.93912
34.25630, 108.93912
34.25663, 108.93911
34.25695, 108.93911
34.25726, 108.93912
34.25763, 108.93912
34.25789, 108.93912
34.25799, 108.93913
34.25851, 108.93913
34.25893, 108.93913
34.25910, 108.93913
34.25922, 108.93913
34.25932, 108.93934
34.25932, 108.93952
34.25931, 108.93964
34.25931, 108.93997
34.25930, 108.94031
34.25929, 108.94068
34.25928, 108.94104
34.25927, 108.94137
34.25927, 108.94165
34.25927, 108.94190
34.25926, 108.94212
34.25926, 108.94245
34.25926, 108.94277
34.25925, 108.94315
34.25924, 108.94354
34.25924, 108.94393
34.25923, 108.94431
34.25922, 108.94512
34.25922, 108.94549
34.25922, 108.94584
34.25922, 108.94615
34.25925, 108.94633
34.25918, 108.94660
34.25910, 108.94670
34.25902, 108.94690
34.25901, 108.94712
34.25911, 108.94735
34.25928, 108.94750
34.25943, 108.94753
34.25965, 108.94743
34.25978, 108.94730
34.26010, 108.94715
34.26046, 108.94716
34.26067, 108.94716
34.26118, 108.94717
34.26161, 108.94717
34.26204, 108.94717
34.26247, 108.94717
34.26285, 108.94717
34.26317, 108.94718
34.26342, 108.94719
34.26360, 108.94719
34.26370, 108.94720
34.26379, 108.94720
34.26391, 108.94720
34.26401, 108.94720
34.26410, 108.94720
34.26433, 108.94720
34.26450, 108.94721
34.26468, 108.94721
34.26490, 108.94721
34.26501, 108.94721
34.26511, 108.94721
34.26522, 108.94721
34.26531, 108.94722
34.26549, 108.94722
34.26564, 108.94722
34.26579, 108.94722
34.26593, 108.94722
34.26608, 108.94722
34.26618, 108.94722
34.26633, 108.94722
34.26655, 108.94723
34.26679, 108.94723
34.26696, 108.94723
34.26731, 108.94724
34.26753, 108.94724
34.26773, 108.94724
34.26792, 108.94724
34.26816, 108.94724
34.26835, 108.94724
34.26858, 108.94724
34.26887, 108.94725
34.26919, 108.94725
34.26944, 108.94726
34.26954, 108.94726
34.26963, 108.94726
34.26977, 108.94726
34.26995, 108.94705
34.26995, 108.94689
34.26995, 108.94673
34.26995, 108.94650
34.26995, 108.94629
34.26995, 108.94618
34.26995, 108.94592
34.26995, 108.94569
34.26995, 108.94549
34.26995, 108.94502
34.26994, 108.94462
34.26994, 108.94421
34.26994, 108.94384
34.26994, 108.94351
34.26993, 108.94326
34.26993, 108.94311
34.26993, 108.94289
34.26992, 108.94267
34.26992, 108.94253
34.26992, 108.94234
34.26992, 108.94215
