latitude,longitude
34.20609, 108.93907
34.20626, 108.93907
34.20641, 108.93908
34.20660, 108.93909
34.20687, 108.93909
34.20702, 108.93909
34.20720, 108.93910
34.20728, 108.93910
34.20753, 108.93910
34.20766, 108.93911
34.20783, 108.93911
34.20814, 108.93912
34.20842, 108.93913
34.20861, 108.93913
34.20879, 108.93912
34.20905, 108.93912
34.20935, 108.93912
34.20954, 108.93912
34.20975, 108.93913
34.20993, 108.93913
34.21012, 108.93913
34.21031, 108.93914
34.21057, 108.93914
34.21084, 108.93914
34.21116, 108.93913
34.21146, 108.93912
34.21168, 108.93912
34.21177, 108.93911
34.21181, 108.93898
34.21181, 108.93881
34.21181, 108.93864
34.21182, 108.93841
34.21182, 108.93821
34.21183, 108.93800
34.21184, 108.93775
34.21184, 108.93749
34.21185, 108.93723
34.21186, 108.93693
34.21187, 108.93659
34.21188, 108.93624
34.21188, 108.93589
34.21189, 108.93559
34.21190, 108.93534
34.21190, 108.93506
34.21190, 108.93476
34.21190, 108.93447
34.21190, 108.93418
34.21190, 108.93387
34.21190, 108.93375
34.21190, 108.93352
34.21190, 108.93319
34.21190, 108.93288
34.21190, 108.93255
34.21188, 108.93223
34.21187, 108.93208
34.21186, 108.93197
34.21200, 108.93185
34.21210, 108.93185
34.21230, 108.93185
34.21251, 108.93185
34.21279, 108.93185
34.21307, 108.93185
34.21334, 108.93185
34.21353, 108.93185
34.21381, 108.93186
34.21403, 108.93186
34.21426, 108.93186
34.21453, 108.93188
34.21480, 108.93186
34.21510, 108.93186
34.21543, 108.93186
34.21578, 108.93186
34.21614, 108.93186
34.21647, 108.93186
34.21680, 108.93187
34.21711, 108.93187
34.21740, 108.93188
34.21751, 108.93189
34.21763, 108.93189
34.21772, 108.93190
34.21792, 108.93191
34.21815, 108.93192
34.21840, 108.93194
34.21860, 108.93194
34.21878, 108.93194
34.21897, 108.93194
34.21920, 108.93194
34.21948, 108.93194
34.21980, 108.93194
34.22008, 108.93194
34.22043, 108.93194
34.22076, 108.93194
34.22138, 108.93194
34.22165, 108.93195
34.22177, 108.93195
34.22186, 108.93196
34.22208, 108.93197
34.22229, 108.93198
34.22246, 108.93199
34.22256, 108.93199
34.22277, 108.93200
34.22295, 108.93201
34.22318, 108.93201
34.22336, 108.93201
34.22350, 108.93202
34.22365, 108.93202
34.22383, 108.93202
34.22407, 108.93202
34.22426, 108.93202
34.22452, 108.93202
34.22480, 108.93202
34.22505, 108.93203
34.22527, 108.93203
34.22553, 108.93203
34.22574, 108.93203
34.22592, 108.93203
34.22612, 108.93203
34.22631, 108.93203
34.22652, 108.93203
34.22672, 108.93203
34.22686, 108.93202
34.22700, 108.93202
34.22714, 108.93202
34.22721, 108.93202
34.22734, 108.93222
34.22734, 108.93232
34.22734, 108.93258
34.22735, 108.93279
34.22736, 108.93303
34.22737, 108.93322
34.22737, 108.93344
34.22737, 108.93356
