latitude,longitude
34.22279, 108.96210
34.22279, 108.96173
34.22279, 108.96150
34.22279, 108.96133
34.22279, 108.96123
34.22279, 108.96103
34.22279, 108.96091
34.22279, 108.96077
34.22285, 108.96047
34.22285, 108.96019
34.22285, 108.95987
34.22285, 108.95951
34.22285, 108.95912
34.22285, 108.95875
34.22286, 108.95832
34.22288, 108.95787
34.22288, 108.95746
34.22289, 108.95718
34.22289, 108.95703
34.22289, 108.95692
34.22289, 108.95683
34.22290, 108.95661
34.22289, 108.95637
34.22289, 108.95625
34.22289, 108.95603
34.22289, 108.95584
34.22289, 108.95560
34.22289, 108.95535
34.22288, 108.95507
34.22288, 108.95478
34.22288, 108.95444
34.22288, 108.95413
34.22288, 108.95382
34.22289, 108.95351
34.22288, 108.95318
34.22288, 108.95290
34.22288, 108.95262
34.22288, 108.95234
34.22287, 108.95208
34.22287, 108.95194
34.22287, 108.95183
34.22287, 108.95166
34.22287, 108.95150
34.22287, 108.95138
34.22287, 108.95125
34.22287, 108.95111
34.22287, 108.95097
34.22287, 108.95083
34.22287, 108.95070
34.22287, 108.95067
34.22287, 108.95049
34.22287, 108.95037
34.22287, 108.95018
34.22287, 108.95009
34.22287, 108.94991
34.22287, 108.94979
34.22288, 108.94968
34.22288, 108.94961
34.22288, 108.94939
34.22288, 108.94921
34.22288, 108.94908
34.22269, 108.94883
34.22288, 108.94858
34.22288, 108.94837
34.22288, 108.94813
34.22288, 108.94793
34.22288, 108.94779
34.22288, 108.94754
34.22288, 108.94736
34.22288, 108.94710
34.22260, 108.94667
34.22250, 108.94667
34.22245, 108.94667
34.22233, 108.94667
34.22215, 108.94667
34.22204, 108.94667
