latitude,longitude
34.27963, 108.94714
34.27953, 108.94714
34.27945, 108.94714
34.27933, 108.94714
34.27923, 108.94714
34.27910, 108.94714
34.27901, 108.94714
34.27885, 108.94714
34.27874, 108.94714
34.27859, 108.94714
34.27839, 108.94714
34.27824, 108.94714
34.27810, 108.94715
34.27787, 108.94715
34.27772, 108.94715
34.27762, 108.94715
34.27749, 108.94715
34.27734, 108.94715
34.27718, 108.94712
34.27705, 108.94699
34.27700, 108.94691
34.27691, 108.94678
34.27680, 108.94666
34.27674, 108.94659
34.27665, 108.94655
34.27654, 108.94654
34.27643, 108.94652
34.27633, 108.94651
34.27613, 108.94653
34.27602, 108.94653
34.27588, 108.94653
34.27579, 108.94654
34.27569, 108.94656
34.27552, 108.94664
34.27545, 108.94669
34.27532, 108.94684
34.27526, 108.94700
34.27503, 108.94715
34.27483, 108.94712
34.27462, 108.94705
34.27445, 108.94705
34.27432, 108.94705
34.27424, 108.94705
34.27407, 108.94705
34.27399, 108.94705
34.27387, 108.94705
34.27375, 108.94705
34.27362, 108.94710
34.27349, 108.94715
34.27331, 108.94715
34.27323, 108.94715
34.27305, 108.94715
34.27289, 108.94715
34.27281, 108.94715
34.27270, 108.94715
34.27253, 108.94715
34.27236, 108.94715
34.27214, 108.94714
34.27193, 108.94714
34.27176, 108.94714
34.27156, 108.94714
34.27131, 108.94714
34.27109, 108.94713
34.27092, 108.94713
34.27084, 108.94713
34.27072, 108.94712
34.27063, 108.94712
34.27044, 108.94712
34.27031, 108.94711
34.27019, 108.94711
34.27008, 108.94711
34.27000, 108.94711
34.26983, 108.94732
34.26983, 108.94752
34.26983, 108.94780
34.26984, 108.94810
34.26985, 108.94841
34.26986, 108.94904
34.26986, 108.94925
34.26986, 108.94934
