latitude,longitude
34.25962, 108.99001
34.25963, 108.99010
34.25964, 108.99029
34.25966, 108.99050
34.25968, 108.99078
34.25970, 108.99108
34.25973, 108.99137
34.25975, 108.99167
34.25977, 108.99202
34.25979, 108.99236
34.25981, 108.99267
34.25982, 108.99301
34.25984, 108.99338
34.25986, 108.99374
34.25988, 108.99412
34.25992, 108.99452
34.25995, 108.99486
34.25998, 108.99518
34.25999, 108.99540
34.26000, 108.99559
34.25996, 108.99568
34.25986, 108.99592
34.25978, 108.99601
34.25960, 108.99617
34.25943, 108.99631
34.25921, 108.99641
34.25902, 108.99653
34.25884, 108.99655
34.25871, 108.99656
34.25856, 108.99657
34.25836, 108.99656
34.25810, 108.99649
34.25780, 108.99649
34.25750, 108.99649
34.25719, 108.99649
34.25693, 108.99649
34.25664, 108.99655
34.25646, 108.99660
34.25635, 108.99660
34.25621, 108.99660
34.25591, 108.99669
34.25568, 108.99668
34.25544, 108.99668
34.25522, 108.99668
34.25504, 108.99668
34.25486, 108.99667
34.25468, 108.99667
34.25446, 108.99667
34.25419, 108.99667
34.25391, 108.99667
34.25362, 108.99668
34.25333, 108.99668
34.25304, 108.99668
34.25275, 108.99668
34.25248, 108.99668
34.25224, 108.99668
34.25198, 108.99668
34.25174, 108.99668
34.25147, 108.99668
34.25122, 108.99669
34.25096, 108.99669
34.25067, 108.99669
34.25037, 108.99669
34.25004, 108.99669
34.24969, 108.99669
34.24934, 108.99669
34.24899, 108.99669
34.24866, 108.99669
34.24810, 108.99663
34.24796, 108.99650
34.24779, 108.99649
34.24763, 108.99649
34.24757, 108.99648
34.24750, 108.99648
