latitude,longitude
34.21341, 108.93161
34.21327, 108.93161
34.21315, 108.93161
34.21300, 108.93161
34.21286, 108.93161
34.21273, 108.93161
34.21256, 108.93161
34.21238, 108.93160
34.21217, 108.93160
34.21200, 108.93160
34.21191, 108.93160
34.21186, 108.93154
34.21186, 108.93133
34.21187, 108.93118
34.21187, 108.93095
34.21188, 108.93072
34.21188, 108.93042
34.21188, 108.93007
34.21188, 108.92966
34.21188, 108.92952
34.21189, 108.92916
34.21189, 108.92897
34.21190, 108.92881
34.21190, 108.92870
34.21190, 108.92857
34.21190, 108.92845
34.21173, 108.92829
34.21167, 108.92829
34.21159, 108.92828
34.21141, 108.92828
34.21121, 108.92828
34.21101, 108.92828
34.21083, 108.92828
34.21060, 108.92828
34.21035, 108.92828
34.21010, 108.92828
34.20982, 108.92828
34.20959, 108.92828
34.20944, 108.92827
34.20916, 108.92827
34.20890, 108.92827
34.20863, 108.92828
34.20839, 108.92827
34.20812, 108.92827
34.20784, 108.92827
34.20758, 108.92827
34.20731, 108.92827
34.20705, 108.92827
34.20683, 108.92827
34.20665, 108.92828
34.20656, 108.92828
34.20643, 108.92828
34.20628, 108.92828
34.20609, 108.92829
34.20578, 108.92829
