latitude,longitude
34.27872, 108.99553
34.27843, 108.99553
34.27809, 108.99553
34.27786, 108.99553
34.27770, 108.99553
34.27752, 108.99553
34.27735, 108.99553
34.27720, 108.99553
34.27697, 108.99553
34.27645, 108.99554
34.27620, 108.99554
34.27602, 108.99555
34.27581, 108.99555
34.27556, 108.99555
34.27532, 108.99556
34.27514, 108.99556
34.27481, 108.99556
34.27455, 108.99556
34.27421, 108.99556
34.27400, 108.99556
34.27355, 108.99556
34.27331, 108.99556
34.27315, 108.99556
34.27303, 108.99556
34.27286, 108.99555
34.27275, 108.99554
34.27257, 108.99554
34.27241, 108.99554
34.27222, 108.99554
34.27203, 108.99554
34.27185, 108.99554
34.27166, 108.99554
34.27145, 108.99554
34.27130, 108.99554
34.27111, 108.99554
34.27094, 108.99553
34.27075, 108.99553
34.27059, 108.99553
34.27044, 108.99553
34.27026, 108.99553
34.27007, 108.99553
34.26988, 108.99553
34.26968, 108.99553
34.26947, 108.99553
34.26935, 108.99552
34.26914, 108.99552
34.26894, 108.99552
34.26875, 108.99552
34.26861, 108.99552
34.26846, 108.99552
34.26830, 108.99552
34.26817, 108.99552
34.26807, 108.99552
34.26793, 108.99552
34.26780, 108.99552
34.26758, 108.99552
34.26743, 108.99552
34.26728, 108.99552
34.26717, 108.99552
34.26695, 108.99552
34.26681, 108.99552
34.26645, 108.99551
34.26619, 108.99551
34.26599, 108.99551
34.26580, 108.99551
34.26559, 108.99551
34.26542, 108.99551
34.26527, 108.99551
34.26514, 108.99551
34.26492, 108.99551
34.26481, 108.99551
34.26464, 108.99551
34.26437, 108.99551
34.26415, 108.99551
34.26390, 108.99551
34.26367, 108.99551
34.26348, 108.99551
34.26327, 108.99551
34.26300, 108.99552
34.26281, 108.99552
34.26247, 108.99546
34.26205, 108.99540
34.26168, 108.99540
34.26132, 108.99540
34.26105, 108.99543
34.26077, 108.99548
34.26058, 108.99552
34.26038, 108.99547
34.26011, 108.99522
34.26009, 108.99505
34.26004, 108.99449
34.26001, 108.99429
34.26000, 108.99411
34.25998, 108.99389
34.25998, 108.99381
34.25997, 108.99367
34.25997, 108.99349
34.25996, 108.99330
34.25996, 108.99317
34.25995, 108.99297
34.25994, 108.99284
34.25994, 108.99273
34.25993, 108.99258
34.25992, 108.99242
34.25992, 108.99230
34.25991, 108.99219
34.25991, 108.99211
34.25990, 108.99195
34.25990, 108.99183
34.25989, 108.99172
34.25988, 108.99157
34.25987, 108.99141
34.25986, 108.99120
34.25985, 108.99096
34.25982, 108.99070
34.25981, 108.99049
34.25981, 108.99039
34.25980, 108.99027
34.25979, 108.99009
34.25978, 108.98996
34.25977, 108.98984
34.25975, 108.98961
34.25974, 108.98949
34.25973, 108.98938
34.25972, 108.98927
34.25971, 108.98914
34.25971, 108.98900
34.25970, 108.98891
34.25970, 108.98874
34.25969, 108.98856
34.25969, 108.98825
34.25968, 108.98789
34.25967, 108.98760
34.25966, 108.98733
34.25964, 108.98703
34.25961, 108.98645
34.25959, 108.98610
34.25957, 108.98572
34.25955, 108.98539
34.25953, 108.98506
34.25952, 108.98486
34.25950, 108.98461
34.25949, 108.98433
34.25947, 108.98400
34.25946, 108.98381
34.25944, 108.98354
34.25943, 108.98339
34.25941, 108.98323
34.25940, 108.98313
34.25940, 108.98299
34.25938, 108.98274
34.25937, 108.98238
34.25935, 108.98193
34.25933, 108.98157
34.25931, 108.98113
34.25930, 108.98061
34.25929, 108.98026
34.25929, 108.97999
34.25929, 108.97990
34.25929, 108.97978
34.25929, 108.97970
34.25929, 108.97935
34.25929, 108.97923
34.25929, 108.97910
34.25930, 108.97899
34.25930, 108.97884
34.25930, 108.97874
34.25930, 108.97863
34.25930, 108.97855
34.25930, 108.97843
34.25930, 108.97834
34.25930, 108.97821
34.25930, 108.97795
34.25931, 108.97723
34.25932, 108.97682
34.25933, 108.97641
34.25934, 108.97601
34.25934, 108.97578
34.25935, 108.97559
34.25935, 108.97547
34.25935, 108.97533
34.25935, 108.97502
34.25936, 108.97479
34.25936, 108.97454
34.25938, 108.97410
34.25938, 108.97373
34.25938, 108.97340
34.25939, 108.97316
34.25939, 108.97307
34.25939, 108.97296
34.25939, 108.97280
34.25938, 108.97269
34.25967, 108.97231
34.25986, 108.97217
34.25999, 108.97191
34.26000, 108.97158
34.26000, 108.97127
34.25997, 108.97092
34.25985, 108.97062
34.25962, 108.97041
34.25951, 108.97031
34.25945, 108.96996
34.25945, 108.96963
34.25945, 108.96931
34.25943, 108.96896
34.25943, 108.96855
34.25943, 108.96813
34.25943, 108.96775
34.25943, 108.96731
34.25943, 108.96711
34.25943, 108.96702
34.25943, 108.96674
34.25943, 108.96646
34.25944, 108.96610
34.25944, 108.96577
34.25945, 108.96535
34.25947, 108.96492
34.25948, 108.96441
34.25949, 108.96398
34.25950, 108.96386
34.25950, 108.96376
34.25950, 108.96366
34.25951, 108.96355
34.25951, 108.96335
34.25951, 108.96308
34.25952, 108.96276
34.25953, 108.96237
34.25955, 108.96187
34.25956, 108.96148
34.25957, 108.96127
34.25958, 108.96105
34.25959, 108.96094
34.25960, 108.96076
34.25960, 108.96067
34.25961, 108.96051
34.25961, 108.96035
34.25961, 108.96007
34.25961, 108.95976
34.25962, 108.95939
34.25962, 108.95902
34.25963, 108.95831
34.25964, 108.95781
34.25964, 108.95743
34.25965, 108.95702
34.25965, 108.95677
34.25965, 108.95642
34.25965, 108.95612
34.25964, 108.95576
34.25964, 108.95548
34.25964, 108.95514
34.25963, 108.95505
34.25963, 108.95492
34.25963, 108.95479
34.25963, 108.95469
34.25963, 108.95462
34.25963, 108.95446
34.25969, 108.95419
34.25966, 108.95396
34.25962, 108.95364
34.25961, 108.95330
34.25961, 108.95307
34.25961, 108.95270
34.25960, 108.95234
34.25959, 108.95198
34.25959, 108.95163
34.25958, 108.95107
34.25957, 108.95080
34.25956, 108.95024
34.25955, 108.94981
34.25954, 108.94945
34.25954, 108.94920
34.25954, 108.94879
34.25954, 108.94844
34.25953, 108.94815
34.25953, 108.94793
34.25953, 108.94781
34.25952, 108.94768
34.25952, 108.94755
34.25974, 108.94735
34.25990, 108.94716
34.25990, 108.94698
34.25979, 108.94678
34.25970, 108.94664
34.25963, 108.94658
34.25951, 108.94652
34.25943, 108.94651
34.25925, 108.94654
34.25914, 108.94664
34.25907, 108.94675
34.25900, 108.94690
34.25892, 108.94694
34.25880, 108.94695
34.25872, 108.94695
34.25863, 108.94695
34.25853, 108.94695
34.25841, 108.94695
34.25832, 108.94695
34.25823, 108.94695
