latitude,longitude
34.27867, 108.99553
34.27830, 108.99553
34.27793, 108.99553
34.27773, 108.99553
34.27755, 108.99553
34.27738, 108.99553
34.27718, 108.99553
34.27710, 108.99553
34.27697, 108.99553
34.27680, 108.99553
34.27657, 108.99554
34.27649, 108.99554
34.27631, 108.99554
34.27623, 108.99554
34.27591, 108.99555
34.27570, 108.99555
34.27519, 108.99556
34.27490, 108.99556
34.27460, 108.99556
34.27425, 108.99556
34.27388, 108.99556
34.27348, 108.99556
34.27309, 108.99556
34.27269, 108.99554
34.27229, 108.99554
34.27193, 108.99554
34.27158, 108.99554
34.27125, 108.99554
34.27089, 108.99553
34.27054, 108.99553
34.27021, 108.99553
34.26987, 108.99553
34.26953, 108.99553
34.26918, 108.99552
34.26882, 108.99552
34.26803, 108.99552
34.26769, 108.99552
34.26728, 108.99552
34.26692, 108.99552
34.26656, 108.99551
34.26620, 108.99551
34.26582, 108.99551
34.26545, 108.99551
34.26505, 108.99551
34.26464, 108.99551
34.26381, 108.99551
34.26342, 108.99551
34.26310, 108.99551
34.26280, 108.99552
34.26228, 108.99541
34.26209, 108.99540
34.26182, 108.99540
34.26151, 108.99540
34.26119, 108.99541
34.26092, 108.99546
34.26068, 108.99550
34.26041, 108.99548
34.26036, 108.99546
34.26024, 108.99543
34.26011, 108.99523
34.26009, 108.99500
34.26006, 108.99473
34.26002, 108.99436
34.25998, 108.99394
34.25997, 108.99348
34.25995, 108.99300
34.25993, 108.99251
34.25990, 108.99201
34.25988, 108.99149
34.25985, 108.99099
34.25982, 108.99055
34.25980, 108.99014
34.25976, 108.98979
34.25974, 108.98950
34.25972, 108.98922
34.25970, 108.98890
34.25969, 108.98857
34.25969, 108.98823
34.25968, 108.98785
34.25967, 108.98750
34.25965, 108.98713
34.25963, 108.98675
34.25961, 108.98640
34.25959, 108.98608
34.25958, 108.98583
34.25956, 108.98560
34.25954, 108.98536
34.25953, 108.98515
34.25952, 108.98491
34.25949, 108.98429
34.25947, 108.98398
34.25945, 108.98371
34.25944, 108.98356
34.25942, 108.98332
34.25940, 108.98311
34.25939, 108.98282
34.25937, 108.98248
34.25936, 108.98209
34.25934, 108.98171
34.25932, 108.98128
34.25930, 108.98077
34.25929, 108.98033
34.25929, 108.97992
34.25929, 108.97956
34.25929, 108.97926
34.25930, 108.97896
34.25930, 108.97880
34.25930, 108.97869
34.25930, 108.97857
34.25930, 108.97844
34.25930, 108.97813
34.25930, 108.97790
34.25930, 108.97766
34.25931, 108.97745
34.25931, 108.97724
34.25932, 108.97700
34.25932, 108.97669
34.25933, 108.97635
34.25934, 108.97602
34.25934, 108.97571
34.25935, 108.97540
34.25935, 108.97507
34.25936, 108.97480
34.25936, 108.97452
34.25938, 108.97423
34.25938, 108.97394
34.25938, 108.97357
34.25938, 108.97342
34.25939, 108.97317
34.25939, 108.97298
34.25939, 108.97280
34.25938, 108.97264
34.25960, 108.97234
34.25968, 108.97231
34.25979, 108.97223
34.25997, 108.97197
34.26000, 108.97178
34.26000, 108.97164
34.26000, 108.97140
34.26000, 108.97120
34.25998, 108.97100
34.25993, 108.97078
34.25982, 108.97058
34.25975, 108.97050
34.25959, 108.97039
34.25948, 108.97025
34.25945, 108.96996
34.25945, 108.96975
34.25945, 108.96955
34.25945, 108.96931
34.25951, 108.96910
34.25951, 108.96889
34.25951, 108.96867
34.25951, 108.96843
34.25951, 108.96813
34.25951, 108.96782
34.25951, 108.96744
34.25951, 108.96684
34.25951, 108.96656
34.25952, 108.96627
34.25952, 108.96593
34.25953, 108.96559
34.25954, 108.96530
34.25954, 108.96503
34.25954, 108.96473
34.25954, 108.96446
34.25954, 108.96422
34.25955, 108.96405
34.25956, 108.96395
34.25956, 108.96374
34.25956, 108.96350
34.25956, 108.96331
34.25956, 108.96311
34.25952, 108.96288
34.25953, 108.96263
34.25953, 108.96238
34.25954, 108.96213
34.25955, 108.96200
34.25955, 108.96187
34.25956, 108.96168
34.25957, 108.96139
34.25958, 108.96109
34.25960, 108.96072
34.25961, 108.96036
34.25961, 108.96001
34.25961, 108.95968
34.25962, 108.95930
34.25962, 108.95896
34.25963, 108.95865
34.25963, 108.95833
34.25963, 108.95804
34.25964, 108.95769
34.25965, 108.95702
34.25965, 108.95664
34.25965, 108.95629
34.25964, 108.95593
34.25964, 108.95563
34.25964, 108.95538
34.25964, 108.95519
34.25963, 108.95501
34.25963, 108.95488
34.25963, 108.95479
34.25963, 108.95462
34.25963, 108.95437
34.25963, 108.95416
34.25962, 108.95387
34.25962, 108.95355
34.25961, 108.95325
34.25961, 108.95295
34.25961, 108.95255
34.25960, 108.95216
34.25959, 108.95177
34.25958, 108.95138
34.25957, 108.95105
34.25957, 108.95075
34.25956, 108.95052
34.25956, 108.95040
