latitude,longitude
34.23390, 108.94994
34.23399, 108.94989
34.23424, 108.94980
34.23448, 108.94970
34.23471, 108.94960
34.23508, 108.94944
34.23522, 108.94938
34.23545, 108.94932
34.23552, 108.94930
34.23569, 108.94927
34.23580, 108.94925
34.23596, 108.94923
34.23607, 108.94921
34.23626, 108.94918
34.23641, 108.94915
34.23659, 108.94910
34.23676, 108.94906
34.23691, 108.94903
34.23696, 108.94881
34.23695, 108.94866
34.23694, 108.94856
34.23694, 108.94843
34.23693, 108.94819
34.23692, 108.94799
34.23692, 108.94778
34.23691, 108.94759
34.23689, 108.94709
34.23703, 108.94692
34.23742, 108.94692
34.23765, 108.94692
34.23789, 108.94692
34.23819, 108.94692
34.23849, 108.94692
34.23882, 108.94692
34.23915, 108.94692
34.23950, 108.94693
34.23977, 108.94693
34.23989, 108.94693
34.24003, 108.94693
34.24024, 108.94694
34.24048, 108.94695
34.24066, 108.94695
34.24082, 108.94695
34.24099, 108.94695
34.24116, 108.94704
34.24130, 108.94696
34.24156, 108.94697
34.24176, 108.94697
34.24197, 108.94697
34.24223, 108.94698
34.24246, 108.94698
34.24260, 108.94698
34.24273, 108.94698
34.24284, 108.94698
34.24301, 108.94698
34.24320, 108.94698
34.24338, 108.94698
34.24356, 108.94698
34.24376, 108.94698
34.24402, 108.94699
34.24430, 108.94699
34.24485, 108.94700
34.24512, 108.94699
34.24535, 108.94699
34.24552, 108.94699
34.24566, 108.94699
34.24582, 108.94699
34.24595, 108.94699
34.24617, 108.94699
34.24627, 108.94699
34.24640, 108.94699
34.24631, 108.94684
34.24620, 108.94684
34.24605, 108.94684
34.24591, 108.94684
34.24583, 108.94684
34.24572, 108.94667
34.24572, 108.94644
34.24572, 108.94631
34.24572, 108.94612
34.24573, 108.94590
34.24575, 108.94563
34.24577, 108.94536
34.24579, 108.94513
