latitude,longitude
34.24798, 108.99260
34.24798, 108.99272
34.24798, 108.99278
34.24798, 108.99282
34.24798, 108.99279
34.24834, 108.99314
34.24848, 108.99314
34.24895, 108.99259
34.24903, 108.99258
34.24921, 108.99257
34.24947, 108.99256
34.24973, 108.99257
34.24971, 108.99277
34.25005, 108.99313
34.25014, 108.99313
34.25029, 108.99313
34.25038, 108.99312
34.25098, 108.99381
34.25098, 108.99414
34.25105, 108.99448
34.25105, 108.99475
34.25105, 108.99504
34.25105, 108.99529
34.25106, 108.99551
34.25106, 108.99567
34.25106, 108.99580
34.25106, 108.99588
34.25106, 108.99600
34.25106, 108.99616
34.25106, 108.99634
34.25107, 108.99651
34.25106, 108.99670
34.25106, 108.99691
34.25106, 108.99709
34.25106, 108.99739
34.25106, 108.99770
34.25106, 108.99800
