latitude,longitude
34.27914, 108.97996
34.27892, 108.97946
34.27875, 108.97907
34.27853, 108.97871
34.27826, 108.97839
34.27803, 108.97814
34.27785, 108.97796
34.27756, 108.97766
34.27752, 108.97741
34.27751, 108.97720
34.27751, 108.97697
34.27751, 108.97675
34.27750, 108.97639
34.27750, 108.97596
34.27749, 108.97586
34.27749, 108.97577
34.27749, 108.97568
34.27749, 108.97558
34.27751, 108.97543
34.27755, 108.97531
34.27757, 108.97521
34.27757, 108.97509
34.27757, 108.97496
34.27757, 108.97479
34.27756, 108.97430
34.27756, 108.97398
34.27754, 108.97363
34.27752, 108.97319
34.27752, 108.97296
34.27757, 108.97276
34.27755, 108.97245
34.27753, 108.97227
34.27749, 108.97191
34.27746, 108.97182
34.27726, 108.97179
34.27716, 108.97184
34.27709, 108.97195
34.27701, 108.97211
34.27693, 108.97222
34.27667, 108.97230
34.27640, 108.97231
34.27609, 108.97231
34.27575, 108.97231
34.27544, 108.97231
34.27521, 108.97231
34.27499, 108.97236
34.27483, 108.97237
34.27443, 108.97236
34.27423, 108.97235
34.27395, 108.97235
34.27368, 108.97234
34.27360, 108.97234
34.27345, 108.97234
34.27334, 108.97234
34.27316, 108.97234
34.27299, 108.97234
34.27280, 108.97234
34.27266, 108.97233
34.27238, 108.97232
34.27216, 108.97232
34.27196, 108.97232
34.27175, 108.97232
34.27150, 108.97232
34.27126, 108.97232
34.27101, 108.97232
34.27080, 108.97232
34.27068, 108.97232
34.27058, 108.97232
34.27050, 108.97232
34.27041, 108.97232
34.27033, 108.97232
34.27025, 108.97232
34.27015, 108.97233
34.26994, 108.97233
34.26955, 108.97233
34.26932, 108.97233
34.26917, 108.97233
34.26908, 108.97233
34.26898, 108.97232
34.26890, 108.97232
34.26882, 108.97232
34.26872, 108.97231
34.26862, 108.97230
34.26839, 108.97229
34.26820, 108.97228
34.26805, 108.97227
34.26793, 108.97227
34.26770, 108.97226
34.26761, 108.97225
34.26752, 108.97225
34.26744, 108.97224
34.26728, 108.97224
34.26717, 108.97224
34.26695, 108.97223
34.26683, 108.97223
34.26673, 108.97223
34.26661, 108.97222
34.26653, 108.97222
34.26646, 108.97222
34.26631, 108.97222
34.26615, 108.97221
34.26600, 108.97221
34.26588, 108.97221
34.26571, 108.97220
34.26555, 108.97219
34.26541, 108.97219
34.26522, 108.97218
34.26514, 108.97218
34.26507, 108.97218
34.26498, 108.97218
34.26489, 108.97218
34.26480, 108.97217
34.26468, 108.97217
34.26456, 108.97216
34.26444, 108.97216
34.26433, 108.97215
34.26432, 108.97192
34.26431, 108.97170
34.26433, 108.97157
34.26445, 108.97140
34.26446, 108.97121
34.26447, 108.97105
34.26447, 108.97086
34.26447, 108.97071
34.26447, 108.97051
34.26447, 108.97036
34.26446, 108.97025
34.26442, 108.97017
34.26441, 108.96998
34.26441, 108.96974
34.26441, 108.96947
34.26441, 108.96913
34.26441, 108.96877
34.26441, 108.96839
34.26441, 108.96802
34.26441, 108.96773
34.26441, 108.96748
34.26440, 108.96726
34.26438, 108.96719
34.26434, 108.96705
34.26433, 108.96692
34.26433, 108.96684
34.26433, 108.96672
34.26433, 108.96658
34.26433, 108.96638
34.26433, 108.96615
34.26433, 108.96587
34.26433, 108.96558
34.26433, 108.96533
34.26433, 108.96509
34.26433, 108.96481
34.26434, 108.96450
34.26434, 108.96416
34.26435, 108.96387
34.26435, 108.96361
34.26435, 108.96343
34.26435, 108.96331
34.26435, 108.96319
34.26437, 108.96307
34.26441, 108.96294
34.26441, 108.96285
34.26441, 108.96272
34.26441, 108.96250
34.26441, 108.96222
34.26441, 108.96186
34.26441, 108.96150
34.26441, 108.96116
34.26441, 108.96092
34.26441, 108.96080
34.26441, 108.96070
34.26442, 108.96057
34.26442, 108.96035
34.26442, 108.96018
34.26442, 108.96002
34.26442, 108.95974
34.26442, 108.95938
34.26436, 108.95886
34.26442, 108.95858
34.26442, 108.95813
34.26442, 108.95754
34.26442, 108.95728
34.26442, 108.95685
34.26442, 108.95643
34.26442, 108.95601
34.26440, 108.95549
34.26441, 108.95505
34.26442, 108.95456
34.26442, 108.95422
34.26441, 108.95354
34.26440, 108.95323
34.26443, 108.95237
34.26444, 108.95202
34.26446, 108.95150
34.26446, 108.95123
34.26447, 108.95108
34.26447, 108.95079
34.26448, 108.95033
34.26448, 108.95008
34.26448, 108.94974
34.26449, 108.94928
34.26449, 108.94908
34.26450, 108.94880
34.26450, 108.94856
34.26450, 108.94846
34.26451, 108.94835
34.26451, 108.94826
34.26451, 108.94815
34.26451, 108.94803
34.26451, 108.94794
34.26451, 108.94783
34.26451, 108.94771
34.26451, 108.94758
34.26451, 108.94739
34.26451, 108.94722
34.26451, 108.94706
34.26451, 108.94683
34.26451, 108.94660
34.26451, 108.94642
34.26452, 108.94611
34.26453, 108.94563
34.26453, 108.94528
34.26453, 108.94506
34.26454, 108.94497
34.26454, 108.94488
34.26455, 108.94478
34.26455, 108.94466
34.26455, 108.94456
34.26455, 108.94445
