latitude,longitude
34.26982, 108.94628
34.26982, 108.94640
34.26982, 108.94656
34.26982, 108.94665
34.26982, 108.94675
34.26982, 108.94687
34.26982, 108.94700
34.27002, 108.94727
34.27012, 108.94727
34.27026, 108.94727
34.27048, 108.94727
34.27073, 108.94727
34.27104, 108.94727
34.27135, 108.94728
34.27156, 108.94728
34.27197, 108.94729
34.27230, 108.94729
34.27262, 108.94730
34.27291, 108.94730
34.27314, 108.94731
34.27329, 108.94731
34.27338, 108.94731
34.27347, 108.94731
34.27361, 108.94731
34.27372, 108.94732
34.27386, 108.94732
34.27405, 108.94732
34.27426, 108.94732
34.27448, 108.94732
34.27469, 108.94732
34.27500, 108.94732
34.27528, 108.94749
34.27537, 108.94765
34.27547, 108.94778
34.27558, 108.94790
34.27572, 108.94794
34.27585, 108.94794
34.27598, 108.94793
34.27613, 108.94792
34.27628, 108.94790
34.27649, 108.94798
34.27662, 108.94813
34.27672, 108.94851
34.27676, 108.94874
34.27675, 108.94900
34.27674, 108.94928
34.27674, 108.94959
34.27674, 108.94992
34.27673, 108.95025
34.27673, 108.95061
34.27673, 108.95097
34.27678, 108.95131
34.27684, 108.95157
34.27685, 108.95184
34.27686, 108.95211
34.27686, 108.95238
34.27686, 108.95267
34.27687, 108.95293
34.27687, 108.95321
34.27687, 108.95340
34.27688, 108.95358
34.27688, 108.95378
34.27689, 108.95405
34.27689, 108.95418
34.27690, 108.95429
