latitude,longitude
34.20611, 108.93913
34.20791, 108.93911
34.20803, 108.93912
34.20813, 108.93912
34.20823, 108.93912
34.20830, 108.93912
34.20845, 108.93913
34.20864, 108.93912
34.20884, 108.93912
34.20908, 108.93912
34.20921, 108.93912
34.20929, 108.93912
34.20944, 108.93912
34.20959, 108.93912
34.20976, 108.93913
34.20994, 108.93913
34.21014, 108.93913
34.21032, 108.93914
34.21053, 108.93914
34.21072, 108.93915
34.21085, 108.93914
34.21093, 108.93914
34.21103, 108.93914
34.21114, 108.93913
34.21129, 108.93913
34.21142, 108.93913
34.21160, 108.93912
34.21179, 108.93912
34.21202, 108.93912
34.21210, 108.93912
34.21230, 108.93913
34.21243, 108.93913
34.21251, 108.93913
34.21270, 108.93913
34.21290, 108.93913
34.21311, 108.93913
34.21330, 108.93913
34.21350, 108.93912
34.21371, 108.93912
34.21387, 108.93912
34.21394, 108.93912
34.21405, 108.93912
34.21412, 108.93912
34.21421, 108.93912
34.21435, 108.93913
34.21450, 108.93908
34.21458, 108.93913
34.21469, 108.93913
34.21477, 108.93913
34.21489, 108.93913
34.21509, 108.93914
34.21526, 108.93914
34.21544, 108.93914
34.21562, 108.93914
34.21581, 108.93913
34.21599, 108.93913
34.21616, 108.93913
34.21632, 108.93913
34.21650, 108.93913
34.21667, 108.93912
34.21685, 108.93912
34.21704, 108.93912
34.21720, 108.93911
34.21742, 108.93911
34.21750, 108.93911
34.21764, 108.93911
34.21785, 108.93911
34.21801, 108.93911
34.21815, 108.93912
34.21831, 108.93917
34.21846, 108.93911
34.21864, 108.93912
34.21885, 108.93912
34.21915, 108.93913
34.21948, 108.93913
34.21975, 108.93913
34.21997, 108.93913
34.22011, 108.93914
34.22019, 108.93914
34.22033, 108.93915
34.22066, 108.93915
34.22081, 108.93915
34.22095, 108.93919
34.22119, 108.93924
34.22140, 108.93925
34.22156, 108.93925
34.22171, 108.93925
34.22188, 108.93926
34.22203, 108.93926
34.22218, 108.93926
34.22234, 108.93927
34.22252, 108.93928
34.22266, 108.93928
34.22276, 108.93943
34.22276, 108.93964
34.22276, 108.93991
34.22276, 108.94024
34.22276, 108.94061
34.22276, 108.94100
34.22276, 108.94185
34.22276, 108.94223
34.22276, 108.94255
34.22276, 108.94280
34.22276, 108.94289
34.22276, 108.94298
34.22276, 108.94309
34.22276, 108.94322
34.22276, 108.94339
34.22276, 108.94348
34.22276, 108.94362
34.22276, 108.94372
34.22275, 108.94386
34.22275, 108.94398
34.22275, 108.94410
34.22275, 108.94416
34.22275, 108.94428
34.22275, 108.94442
34.22275, 108.94453
34.22275, 108.94477
34.22275, 108.94484
34.22275, 108.94495
34.22275, 108.94510
34.22275, 108.94519
34.22275, 108.94531
34.22275, 108.94549
34.22275, 108.94568
34.22275, 108.94589
34.22275, 108.94609
34.22275, 108.94621
34.22275, 108.94635
34.22275, 108.94649
34.22275, 108.94664
34.22276, 108.94671
34.22293, 108.94683
34.22300, 108.94683
34.22311, 108.94683
34.22318, 108.94683
