latitude,longitude
34.20656, 108.94674
34.20692, 108.94674
34.20727, 108.94674
34.20761, 108.94675
34.20794, 108.94675
34.20826, 108.94675
34.20898, 108.94676
34.20935, 108.94675
34.21004, 108.94675
34.21036, 108.94675
34.21065, 108.94675
34.21092, 108.94674
34.21119, 108.94674
34.21144, 108.94674
34.21202, 108.94674
34.21227, 108.94674
34.21251, 108.94674
34.21276, 108.94674
34.21302, 108.94674
34.21331, 108.94675
34.21359, 108.94675
34.21384, 108.94675
34.21409, 108.94675
34.21436, 108.94675
34.21492, 108.94675
34.21521, 108.94676
34.21550, 108.94677
34.21580, 108.94677
34.21610, 108.94677
34.21636, 108.94677
34.21646, 108.94677
34.21688, 108.94678
34.21708, 108.94678
34.21730, 108.94678
34.21751, 108.94678
34.21770, 108.94678
34.21781, 108.94678
34.21803, 108.94678
34.21819, 108.94678
34.21829, 108.94678
34.21843, 108.94678
34.21857, 108.94678
34.21874, 108.94678
34.21893, 108.94678
34.21914, 108.94678
34.21940, 108.94679
34.22001, 108.94680
34.22028, 108.94680
34.22051, 108.94681
34.22073, 108.94681
34.22091, 108.94681
34.22109, 108.94682
34.22133, 108.94682
34.22160, 108.94682
34.22179, 108.94682
34.22164, 108.94682
34.22191, 108.94682
34.22180, 108.94682
34.22186, 108.94682
34.22194, 108.94682
34.22201, 108.94682
34.22212, 108.94682
34.22229, 108.94682
34.22241, 108.94682
34.22252, 108.94682
34.22272, 108.94683
34.22290, 108.94683
34.22300, 108.94683
34.22318, 108.94683
34.22327, 108.94683
34.22341, 108.94683
34.22352, 108.94683
34.22364, 108.94683
34.22372, 108.94683
34.22387, 108.94683
34.22407, 108.94683
34.22420, 108.94683
34.22432, 108.94683
34.22454, 108.94684
34.22469, 108.94684
34.22483, 108.94684
34.22501, 108.94684
34.22520, 108.94684
34.22541, 108.94684
34.22568, 108.94688
34.22591, 108.94693
34.22620, 108.94693
34.22667, 108.94693
34.22695, 108.94694
34.22721, 108.94694
34.22781, 108.94695
34.22811, 108.94688
34.22841, 108.94688
34.22875, 108.94688
34.22911, 108.94687
34.22949, 108.94691
34.22985, 108.94693
34.23020, 108.94689
34.23054, 108.94690
34.23087, 108.94690
34.23152, 108.94690
34.23182, 108.94690
34.23211, 108.94689
34.23308, 108.94690
34.23340, 108.94690
34.23366, 108.94690
34.23399, 108.94690
34.23420, 108.94690
34.23443, 108.94691
34.23466, 108.94691
34.23489, 108.94691
34.23511, 108.94691
34.23520, 108.94691
34.23555, 108.94691
34.23560, 108.94691
34.23583, 108.94691
34.23608, 108.94691
34.23642, 108.94691
34.23677, 108.94691
34.23714, 108.94692
34.23748, 108.94692
34.23799, 108.94692
34.23827, 108.94692
34.23861, 108.94692
34.23899, 108.94692
34.24006, 108.94693
34.24041, 108.94701
34.24072, 108.94702
34.24096, 108.94703
34.24110, 108.94704
34.24133, 108.94701
34.24147, 108.94696
34.24161, 108.94697
34.24176, 108.94697
34.24195, 108.94697
34.24221, 108.94705
34.24249, 108.94705
34.24277, 108.94705
34.24302, 108.94705
34.24328, 108.94704
34.24352, 108.94704
34.24376, 108.94703
34.24404, 108.94703
34.24432, 108.94704
34.24467, 108.94706
34.24499, 108.94707
34.24527, 108.94708
34.24546, 108.94708
34.24555, 108.94708
34.24577, 108.94708
34.24604, 108.94699
34.24635, 108.94699
34.24673, 108.94699
34.24705, 108.94699
34.24740, 108.94699
34.24773, 108.94699
34.24802, 108.94700
34.24829, 108.94701
34.24882, 108.94736
34.24895, 108.94753
34.24916, 108.94763
34.24945, 108.94767
34.24979, 108.94769
34.25016, 108.94771
34.25049, 108.94771
34.25084, 108.94772
34.25120, 108.94772
34.25155, 108.94772
34.25189, 108.94777
34.25219, 108.94776
34.25242, 108.94767
34.25261, 108.94753
34.25272, 108.94730
34.25304, 108.94712
34.25330, 108.94712
34.25365, 108.94712
34.25402, 108.94711
34.25441, 108.94711
34.25481, 108.94710
34.25521, 108.94710
34.25559, 108.94710
34.25595, 108.94710
34.25630, 108.94709
34.25669, 108.94709
34.25747, 108.94709
34.25781, 108.94709
34.25813, 108.94709
34.25838, 108.94709
34.25860, 108.94709
34.25879, 108.94709
34.25900, 108.94717
34.25907, 108.94730
34.25913, 108.94738
34.25934, 108.94751
34.25948, 108.94752
34.25961, 108.94745
34.25970, 108.94739
34.25979, 108.94727
34.25990, 108.94716
34.26009, 108.94715
34.26033, 108.94715
34.26063, 108.94716
34.26099, 108.94717
34.26135, 108.94717
34.26174, 108.94717
34.26212, 108.94717
34.26251, 108.94717
34.26287, 108.94718
34.26314, 108.94718
34.26340, 108.94719
34.26352, 108.94719
34.26376, 108.94720
34.26365, 108.94719
34.26384, 108.94720
34.26392, 108.94720
34.26379, 108.94720
34.26368, 108.94720
34.26388, 108.94720
34.26408, 108.94720
34.26427, 108.94720
34.26440, 108.94721
34.26457, 108.94721
34.26471, 108.94721
34.26494, 108.94721
34.26515, 108.94721
34.26537, 108.94722
34.26562, 108.94722
34.26590, 108.94722
34.26612, 108.94722
34.26619, 108.94722
34.26684, 108.94723
34.26707, 108.94724
34.26722, 108.94724
34.26747, 108.94724
34.26776, 108.94724
34.26801, 108.94724
34.26822, 108.94724
34.26842, 108.94724
34.26866, 108.94724
34.26895, 108.94725
34.26927, 108.94725
34.26957, 108.94726
34.26980, 108.94726
34.26995, 108.94727
34.27013, 108.94727
34.27040, 108.94727
34.27068, 108.94727
34.27099, 108.94727
34.27134, 108.94728
34.27168, 108.94728
34.27201, 108.94729
34.27231, 108.94729
34.27263, 108.94730
34.27297, 108.94730
34.27325, 108.94731
34.27346, 108.94731
34.27356, 108.94731
34.27371, 108.94732
34.27392, 108.94732
34.27417, 108.94732
34.27446, 108.94732
34.27474, 108.94732
34.27495, 108.94732
34.27513, 108.94732
34.27526, 108.94742
34.27528, 108.94750
34.27535, 108.94763
34.27565, 108.94785
34.27581, 108.94788
34.27597, 108.94788
34.27605, 108.94788
34.27625, 108.94788
34.27640, 108.94787
34.27657, 108.94785
34.27665, 108.94783
34.27673, 108.94781
34.27661, 108.94785
34.27690, 108.94769
34.27697, 108.94760
34.27706, 108.94740
34.27734, 108.94730
34.27755, 108.94730
34.27773, 108.94730
34.27794, 108.94731
34.27854, 108.94731
34.27883, 108.94731
34.27909, 108.94730
34.27928, 108.94730
34.27942, 108.94730
34.27962, 108.94730
