latitude,longitude
34.25580, 108.93577
34.25580, 108.93587
34.25580, 108.93597
34.25579, 108.93607
34.25578, 108.93625
34.25577, 108.93650
34.25577, 108.93665
34.25575, 108.93707
34.25574, 108.93735
34.25573, 108.93752
34.25572, 108.93766
34.25572, 108.93775
34.25571, 108.93792
34.25570, 108.93814
34.25569, 108.93836
34.25569, 108.93855
34.25569, 108.93862
34.25569, 108.93870
34.25568, 108.93882
34.25567, 108.93895
34.25566, 108.93909
34.25565, 108.93926
34.25563, 108.93942
34.25562, 108.93957
34.25561, 108.93981
34.25560, 108.94012
34.25559, 108.94025
34.25558, 108.94042
34.25556, 108.94066
34.25552, 108.94129
34.25551, 108.94146
34.25550, 108.94157
34.25549, 108.94171
34.25549, 108.94182
34.25548, 108.94195
34.25546, 108.94219
34.25543, 108.94230
34.25513, 108.94227
34.25495, 108.94226
34.25483, 108.94224
34.25472, 108.94223
34.25458, 108.94222
34.25442, 108.94220
34.25434, 108.94220
34.25422, 108.94218
34.25403, 108.94217
34.25375, 108.94214
34.25352, 108.94212
34.25328, 108.94210
34.25306, 108.94208
34.25278, 108.94205
34.25247, 108.94202
34.25246, 108.94218
34.25248, 108.94242
34.25248, 108.94272
34.25248, 108.94300
34.25248, 108.94331
34.25252, 108.94364
34.25256, 108.94391
34.25259, 108.94411
34.25266, 108.94437
34.25271, 108.94452
34.25274, 108.94460
34.25279, 108.94467
34.25285, 108.94476
34.25287, 108.94495
34.25288, 108.94507
34.25288, 108.94519
34.25289, 108.94531
34.25289, 108.94543
34.25290, 108.94559
34.25291, 108.94573
34.25291, 108.94583
34.25292, 108.94593
34.25292, 108.94609
34.25292, 108.94614
