latitude,longitude
34.20663, 108.94674
34.20711, 108.94674
34.20762, 108.94675
34.20812, 108.94675
34.20863, 108.94675
34.20915, 108.94675
34.20965, 108.94675
34.21010, 108.94675
34.21051, 108.94675
34.21087, 108.94674
34.21114, 108.94674
34.21135, 108.94674
34.21148, 108.94674
34.21171, 108.94674
34.21196, 108.94674
34.21221, 108.94674
34.21248, 108.94674
34.21277, 108.94674
34.21308, 108.94675
34.21338, 108.94675
34.21366, 108.94675
34.21393, 108.94675
34.21418, 108.94675
34.21444, 108.94675
34.21471, 108.94675
34.21496, 108.94675
34.21522, 108.94676
34.21547, 108.94677
34.21568, 108.94677
34.21588, 108.94677
34.21604, 108.94677
34.21624, 108.94677
34.21645, 108.94677
34.21665, 108.94678
34.21683, 108.94678
34.21696, 108.94678
34.21704, 108.94678
34.21710, 108.94678
34.21720, 108.94678
34.21738, 108.94678
34.21756, 108.94678
34.21776, 108.94678
34.21795, 108.94678
34.21808, 108.94678
34.21825, 108.94678
34.21846, 108.94678
34.21868, 108.94678
34.21892, 108.94678
34.21920, 108.94679
34.21948, 108.94680
34.21974, 108.94680
34.21997, 108.94680
34.22018, 108.94680
34.22038, 108.94680
34.22053, 108.94681
34.22075, 108.94681
34.22087, 108.94681
34.22104, 108.94682
34.22121, 108.94682
34.22141, 108.94682
34.22160, 108.94682
34.22180, 108.94682
34.22198, 108.94682
34.22216, 108.94682
34.22230, 108.94682
