latitude,longitude
34.26641, 108.99543
34.26631, 108.99543
34.26623, 108.99543
34.26593, 108.99551
34.26576, 108.99551
34.26558, 108.99551
34.26539, 108.99551
34.26519, 108.99551
34.26498, 108.99551
34.26476, 108.99551
34.26441, 108.99551
34.26417, 108.99551
34.26390, 108.99551
34.26364, 108.99551
34.26340, 108.99551
34.26311, 108.99551
34.26279, 108.99552
34.26244, 108.99544
34.26208, 108.99540
34.26133, 108.99540
34.26099, 108.99544
34.26065, 108.99550
34.26043, 108.99549
34.26021, 108.99547
34.26002, 108.99557
34.25994, 108.99576
34.25984, 108.99595
34.25963, 108.99613
34.25944, 108.99630
34.25930, 108.99638
34.25910, 108.99652
34.25903, 108.99674
34.25909, 108.99697
34.25917, 108.99704
34.25922, 108.99708
34.25930, 108.99733
34.25928, 108.99755
34.25926, 108.99782
34.25925, 108.99816
