latitude,longitude
34.27386, 108.96283
34.27375, 108.96284
34.27368, 108.96289
34.27350, 108.96284
34.27334, 108.96284
34.27310, 108.96284
34.27282, 108.96284
34.27253, 108.96284
34.27231, 108.96284
34.27212, 108.96284
34.27202, 108.96284
34.27179, 108.96280
34.27164, 108.96280
34.27143, 108.96280
34.27120, 108.96266
34.27096, 108.96264
34.27080, 108.96270
34.27064, 108.96279
34.27051, 108.96281
34.27042, 108.96281
34.27021, 108.96275
34.27013, 108.96267
34.27006, 108.96240
34.27006, 108.96232
34.27006, 108.96209
34.27006, 108.96188
34.27006, 108.96174
34.27006, 108.96157
34.27006, 108.96133
34.27006, 108.96114
34.27006, 108.96094
34.27006, 108.96073
34.27005, 108.96055
34.27005, 108.96029
34.27004, 108.96006
34.27004, 108.95975
34.27004, 108.95946
34.27004, 108.95913
34.27004, 108.95875
34.27004, 108.95837
34.27004, 108.95796
34.27004, 108.95763
34.27003, 108.95728
34.27003, 108.95709
34.27003, 108.95688
34.27003, 108.95665
34.27003, 108.95643
34.27003, 108.95619
34.27003, 108.95593
34.27003, 108.95567
34.27003, 108.95540
34.27003, 108.95526
34.27002, 108.95509
34.27002, 108.95494
34.27002, 108.95489
34.27002, 108.95479
34.27002, 108.95461
34.27002, 108.95439
34.27002, 108.95424
34.27002, 108.95402
34.27001, 108.95373
34.27001, 108.95346
34.27001, 108.95312
34.27001, 108.95275
34.27000, 108.95242
34.27000, 108.95206
34.27000, 108.95165
34.27000, 108.95120
34.26999, 108.95075
34.26999, 108.95032
34.26999, 108.94998
34.26998, 108.94957
34.26997, 108.94922
34.26997, 108.94879
34.26997, 108.94846
34.26997, 108.94820
34.26996, 108.94799
34.26996, 108.94775
34.26995, 108.94760
34.26995, 108.94746
34.27017, 108.94727
34.27023, 108.94727
34.27043, 108.94727
34.27068, 108.94727
34.27096, 108.94727
34.27128, 108.94728
34.27163, 108.94728
34.27195, 108.94729
34.27226, 108.94729
34.27258, 108.94730
34.27287, 108.94730
34.27313, 108.94731
34.27323, 108.94731
34.27330, 108.94731
34.27353, 108.94731
34.27372, 108.94732
34.27394, 108.94732
34.27421, 108.94732
34.27447, 108.94732
34.27471, 108.94732
34.27489, 108.94732
34.27509, 108.94732
34.27524, 108.94738
34.27532, 108.94759
34.27544, 108.94773
34.27553, 108.94779
34.27567, 108.94786
34.27588, 108.94788
34.27601, 108.94788
34.27623, 108.94788
34.27634, 108.94788
34.27650, 108.94786
34.27663, 108.94784
34.27675, 108.94779
34.27690, 108.94769
34.27698, 108.94756
34.27705, 108.94740
34.27726, 108.94730
34.27747, 108.94730
34.27762, 108.94730
34.27803, 108.94731
34.27827, 108.94731
34.27845, 108.94731
34.27862, 108.94731
34.27870, 108.94731
34.27882, 108.94731
34.27906, 108.94731
34.27916, 108.94730
34.27936, 108.94730
34.27955, 108.94730
