latitude,longitude
34.27878, 108.99542
34.27858, 108.99542
34.27836, 108.99542
34.27821, 108.99542
34.27810, 108.99542
34.27801, 108.99542
34.27786, 108.99542
34.27765, 108.99542
34.27751, 108.99542
34.27733, 108.99542
34.27689, 108.99542
34.27664, 108.99543
34.27640, 108.99543
34.27612, 108.99543
34.27579, 108.99543
34.27552, 108.99544
34.27523, 108.99544
34.27489, 108.99544
34.27460, 108.99544
34.27430, 108.99544
34.27402, 108.99544
34.27382, 108.99544
34.27359, 108.99544
34.27336, 108.99544
34.27314, 108.99544
34.27300, 108.99544
34.27270, 108.99544
34.27252, 108.99544
34.27217, 108.99544
34.27197, 108.99544
34.27176, 108.99544
34.27167, 108.99544
34.27161, 108.99544
34.27147, 108.99536
34.27140, 108.99530
34.27131, 108.99530
34.27123, 108.99531
34.27113, 108.99531
34.27059, 108.99530
34.27038, 108.99530
34.27030, 108.99530
34.27019, 108.99530
34.27010, 108.99530
34.26997, 108.99530
34.26985, 108.99531
34.26991, 108.99530
34.26972, 108.99536
34.26962, 108.99540
34.26948, 108.99551
34.26948, 108.99569
34.26948, 108.99571
34.26948, 108.99582
34.26948, 108.99597
34.26948, 108.99616
34.26948, 108.99637
34.26948, 108.99655
34.26948, 108.99667
34.26948, 108.99679
34.26948, 108.99688
