latitude,longitude
34.21668, 108.95655
34.21656, 108.95654
34.21640, 108.95654
34.21620, 108.95654
34.21585, 108.95653
34.21574, 108.95653
34.21560, 108.95653
34.21550, 108.95653
34.21537, 108.95653
34.21514, 108.95652
34.21497, 108.95652
34.21478, 108.95652
34.21459, 108.95652
34.21436, 108.95652
34.21409, 108.95652
34.21382, 108.95652
34.21351, 108.95652
34.21319, 108.95652
34.21288, 108.95652
34.21261, 108.95652
34.21236, 108.95652
34.21213, 108.95650
34.21196, 108.95650
34.21184, 108.95650
34.21173, 108.95650
34.21165, 108.95653
34.21151, 108.95653
34.21130, 108.95653
34.21110, 108.95653
34.21088, 108.95653
34.21038, 108.95653
34.21012, 108.95653
34.20984, 108.95653
34.20955, 108.95653
34.20921, 108.95653
34.20890, 108.95654
34.20856, 108.95654
34.20823, 108.95654
34.20790, 108.95654
34.20760, 108.95655
34.20735, 108.95653
34.20716, 108.95653
34.20692, 108.95652
34.20666, 108.95652
