latitude,longitude
34.27978, 108.93309
34.27952, 108.93307
34.27921, 108.93305
34.27888, 108.93302
34.27852, 108.93300
34.27815, 108.93298
34.27778, 108.93296
34.27740, 108.93295
34.27704, 108.93294
34.27685, 108.93288
34.27684, 108.93237
34.27691, 108.93201
34.27698, 108.93166
34.27702, 108.93136
34.27697, 108.93115
34.27668, 108.93108
34.27657, 108.93123
34.27653, 108.93130
34.27649, 108.93158
34.27649, 108.93185
34.27649, 108.93210
34.27649, 108.93232
34.27649, 108.93242
34.27649, 108.93266
34.27649, 108.93282
34.27641, 108.93298
34.27622, 108.93298
34.27598, 108.93298
34.27572, 108.93299
34.27548, 108.93299
34.27527, 108.93299
34.27506, 108.93298
34.27495, 108.93297
34.27476, 108.93296
34.27458, 108.93296
34.27440, 108.93296
34.27421, 108.93285
34.27405, 108.93285
34.27386, 108.93284
34.27372, 108.93283
34.27353, 108.93282
34.27333, 108.93282
34.27311, 108.93282
34.27286, 108.93281
34.27257, 108.93281
34.27228, 108.93281
34.27201, 108.93280
34.27177, 108.93279
34.27155, 108.93279
34.27135, 108.93278
34.27111, 108.93277
34.27088, 108.93276
34.27065, 108.93276
34.27041, 108.93274
34.27020, 108.93273
34.27012, 108.93273
34.27001, 108.93272
34.26991, 108.93272
34.26985, 108.93273
34.26973, 108.93283
34.26954, 108.93284
34.26941, 108.93283
34.26921, 108.93281
34.26898, 108.93279
34.26880, 108.93278
34.26867, 108.93277
