latitude,longitude
34.24812, 108.98955
34.24812, 108.98936
34.24812, 108.98924
34.24812, 108.98912
34.24812, 108.98896
34.24812, 108.98875
34.24812, 108.98852
34.24812, 108.98838
34.24812, 108.98827
34.24832, 108.98819
34.24854, 108.98819
34.24882, 108.98820
34.24907, 108.98820
34.24928, 108.98820
34.24949, 108.98821
34.24980, 108.98821
34.24996, 108.98822
34.25015, 108.98822
34.25035, 108.98822
34.25048, 108.98822
34.25062, 108.98823
34.25073, 108.98823
34.25086, 108.98823
34.25099, 108.98824
34.25122, 108.98824
34.25136, 108.98824
34.25152, 108.98824
34.25172, 108.98824
34.25194, 108.98824
34.25217, 108.98824
34.25242, 108.98825
34.25264, 108.98825
34.25286, 108.98825
34.25309, 108.98825
34.25330, 108.98825
34.25342, 108.98825
34.25354, 108.98825
34.25375, 108.98825
34.25393, 108.98825
34.25414, 108.98825
34.25437, 108.98825
34.25462, 108.98825
34.25489, 108.98826
34.25515, 108.98826
34.25540, 108.98826
34.25565, 108.98826
34.25587, 108.98826
34.25604, 108.98826
34.25618, 108.98827
34.25618, 108.98842
34.25618, 108.98859
34.25619, 108.98887
34.25621, 108.98917
34.25622, 108.98943
34.25622, 108.98966
34.25623, 108.98992
34.25624, 108.99025
34.25626, 108.99056
34.25627, 108.99087
34.25627, 108.99109
34.25626, 108.99117
34.25626, 108.99132
34.25625, 108.99153
34.25625, 108.99180
34.25624, 108.99208
34.25623, 108.99233
34.25622, 108.99260
34.25621, 108.99284
34.25621, 108.99306
34.25620, 108.99326
34.25619, 108.99347
34.25618, 108.99370
34.25617, 108.99392
34.25617, 108.99413
34.25617, 108.99436
34.25617, 108.99451
