latitude,longitude
34.21183, 108.91143
34.21183, 108.91175
34.21183, 108.91206
34.21183, 108.91238
34.21183, 108.91267
34.21183, 108.91298
34.21183, 108.91335
34.21184, 108.91371
34.21184, 108.91407
34.21184, 108.91443
34.21185, 108.91479
34.21186, 108.91515
34.21186, 108.91551
34.21187, 108.91590
34.21188, 108.91628
34.21188, 108.91664
34.21188, 108.91697
34.21188, 108.91735
34.21188, 108.91770
34.21188, 108.91802
34.21188, 108.91830
34.21188, 108.91861
34.21188, 108.91877
34.21188, 108.91886
34.21188, 108.91898
34.21188, 108.91917
34.21188, 108.91934
