latitude,longitude
34.25946, 108.95084
34.25946, 108.95102
34.25947, 108.95113
34.25947, 108.95135
34.25948, 108.95166
34.25948, 108.95204
34.25949, 108.95237
34.25949, 108.95265
34.25949, 108.95291
34.25950, 108.95313
34.25950, 108.95328
34.25951, 108.95343
34.25952, 108.95369
34.25953, 108.95402
34.25953, 108.95423
34.25953, 108.95448
34.25953, 108.95480
34.25953, 108.95513
34.25953, 108.95548
34.25953, 108.95583
34.25954, 108.95618
34.25954, 108.95653
34.25954, 108.95682
34.25954, 108.95707
34.25953, 108.95731
34.25953, 108.95752
34.25953, 108.95771
34.25953, 108.95782
34.25952, 108.95797
34.25952, 108.95828
34.25952, 108.95851
34.25951, 108.95878
34.25951, 108.95906
34.25951, 108.95935
34.25951, 108.95958
34.25950, 108.95972
34.25950, 108.95995
34.25950, 108.96014
34.25950, 108.96049
34.25942, 108.96067
34.25942, 108.96106
34.25942, 108.96125
34.25942, 108.96135
34.25942, 108.96153
34.25942, 108.96163
