latitude,longitude
34.24736, 108.96352
34.24747, 108.96351
34.24755, 108.96351
34.24771, 108.96351
34.24791, 108.96350
34.24808, 108.96349
34.24829, 108.96349
34.24853, 108.96347
34.24881, 108.96347
34.24910, 108.96347
34.24940, 108.96347
34.24968, 108.96347
34.24992, 108.96347
34.25010, 108.96347
34.25038, 108.96347
34.25054, 108.96347
34.25067, 108.96347
34.25087, 108.96356
34.25087, 108.96384
34.25087, 108.96418
34.25087, 108.96449
34.25087, 108.96484
34.25087, 108.96519
34.25087, 108.96549
34.25087, 108.96574
34.25091, 108.96588
34.25095, 108.96614
34.25095, 108.96644
34.25095, 108.96669
34.25095, 108.96694
34.25095, 108.96715
34.25095, 108.96738
34.25095, 108.96774
34.25095, 108.96783
34.25095, 108.96800
34.25095, 108.96819
34.25095, 108.96834
34.25095, 108.96848
34.25095, 108.96866
34.25095, 108.96895
34.25096, 108.96921
34.25096, 108.96944
34.25089, 108.96969
34.25089, 108.96995
34.25087, 108.97024
34.25086, 108.97057
34.25086, 108.97092
34.25086, 108.97126
34.25086, 108.97146
34.25086, 108.97168
34.25086, 108.97181
34.25086, 108.97195
34.25087, 108.97214
34.25096, 108.97235
34.25104, 108.97235
34.25114, 108.97235
34.25124, 108.97235
34.25152, 108.97236
34.25173, 108.97237
34.25198, 108.97238
34.25228, 108.97238
34.25258, 108.97237
34.25291, 108.97236
34.25319, 108.97234
34.25340, 108.97233
34.25355, 108.97233
34.25391, 108.97232
34.25417, 108.97231
34.25447, 108.97231
34.25474, 108.97231
34.25500, 108.97232
34.25528, 108.97233
34.25577, 108.97237
34.25596, 108.97242
34.25613, 108.97246
34.25629, 108.97249
34.25647, 108.97251
34.25666, 108.97253
34.25684, 108.97255
34.25697, 108.97256
34.25716, 108.97258
