latitude,longitude
34.22140, 108.94667
34.22111, 108.94667
34.22098, 108.94667
34.22084, 108.94667
34.22068, 108.94667
34.22054, 108.94666
34.22044, 108.94666
34.22025, 108.94665
34.22011, 108.94665
34.21992, 108.94665
34.21971, 108.94664
34.21929, 108.94663
34.21908, 108.94663
34.21865, 108.94663
34.21857, 108.94663
34.21848, 108.94663
34.21836, 108.94663
34.21780, 108.94663
34.21753, 108.94662
34.21725, 108.94662
34.21706, 108.94662
34.21673, 108.94662
34.21640, 108.94662
34.21604, 108.94662
34.21557, 108.94661
34.21520, 108.94661
34.21498, 108.94661
34.21456, 108.94661
34.21429, 108.94661
34.21406, 108.94661
34.21359, 108.94660
34.21338, 108.94660
34.21280, 108.94659
34.21258, 108.94659
34.21235, 108.94659
34.21212, 108.94658
34.21195, 108.94658
34.21183, 108.94658
34.21173, 108.94658
34.21162, 108.94658
34.21122, 108.94658
34.21094, 108.94659
34.21070, 108.94660
34.21048, 108.94661
34.21033, 108.94661
34.21016, 108.94661
34.20967, 108.94661
34.20943, 108.94661
34.20918, 108.94661
34.20893, 108.94661
34.20868, 108.94660
34.20847, 108.94660
34.20835, 108.94660
34.20823, 108.94660
34.20793, 108.94659
34.20776, 108.94659
34.20748, 108.94659
34.20717, 108.94659
34.20685, 108.94659
34.20649, 108.94658
