latitude,longitude
34.26961, 108.99765
34.26961, 108.99737
34.26962, 108.99696
34.26962, 108.99630
34.26962, 108.99609
34.26962, 108.99584
34.26979, 108.99583
34.27007, 108.99583
34.27043, 108.99583
34.27088, 108.99583
34.27153, 108.99583
34.27205, 108.99583
34.27240, 108.99583
34.27288, 108.99582
34.27317, 108.99582
34.27378, 108.99582
34.27422, 108.99582
34.27479, 108.99582
34.27522, 108.99582
34.27550, 108.99581
34.27590, 108.99581
34.27630, 108.99581
34.27662, 108.99580
34.27690, 108.99579
34.27699, 108.99579
34.27708, 108.99579
34.27727, 108.99579
34.27741, 108.99579
34.27748, 108.99578
34.27756, 108.99578
34.27776, 108.99578
34.27791, 108.99578
34.27814, 108.99578
34.27823, 108.99578
34.27854, 108.99578
