latitude,longitude
34.20653, 108.94674
34.20690, 108.94674
34.20728, 108.94674
34.20769, 108.94675
34.20808, 108.94675
34.20848, 108.94675
34.20886, 108.94676
34.20925, 108.94675
34.20965, 108.94675
34.21007, 108.94675
34.21048, 108.94675
34.21083, 108.94675
34.21111, 108.94674
34.21121, 108.94674
34.21163, 108.94674
34.21190, 108.94674
34.21222, 108.94674
34.21256, 108.94674
34.21294, 108.94674
34.21333, 108.94675
34.21373, 108.94675
34.21418, 108.94675
34.21463, 108.94675
34.21510, 108.94676
34.21562, 108.94677
34.21610, 108.94677
34.21657, 108.94677
34.21697, 108.94678
34.21734, 108.94678
34.21769, 108.94678
34.21804, 108.94678
34.21836, 108.94678
34.21867, 108.94678
34.21901, 108.94678
34.21937, 108.94679
34.21974, 108.94680
34.22012, 108.94680
34.22051, 108.94681
34.22086, 108.94681
34.22122, 108.94682
34.22155, 108.94682
34.22187, 108.94682
34.22209, 108.94682
34.22221, 108.94682
34.22238, 108.94682
34.22248, 108.94682
34.22272, 108.94683
34.22292, 108.94683
34.22315, 108.94683
34.22335, 108.94683
34.22356, 108.94683
34.22376, 108.94683
34.22394, 108.94683
34.22413, 108.94683
34.22438, 108.94683
34.22467, 108.94684
34.22497, 108.94684
34.22526, 108.94684
34.22554, 108.94685
34.22578, 108.94685
34.22601, 108.94685
34.22625, 108.94685
34.22651, 108.94686
34.22676, 108.94686
34.22703, 108.94686
34.22730, 108.94686
34.22759, 108.94687
34.22787, 108.94687
34.22818, 108.94688
34.22848, 108.94688
34.22879, 108.94688
34.22911, 108.94687
34.22945, 108.94687
34.22980, 108.94688
34.23016, 108.94689
34.23092, 108.94690
34.23132, 108.94690
34.23174, 108.94690
34.23215, 108.94689
34.23253, 108.94689
34.23284, 108.94690
34.23303, 108.94690
34.23315, 108.94690
34.23325, 108.94690
34.23338, 108.94690
34.23362, 108.94690
34.23393, 108.94690
34.23420, 108.94690
34.23453, 108.94691
34.23479, 108.94691
34.23501, 108.94691
34.23517, 108.94691
34.23525, 108.94691
34.23535, 108.94691
34.23561, 108.94691
34.23583, 108.94691
34.23609, 108.94691
34.23639, 108.94691
34.23672, 108.94691
34.23708, 108.94692
34.23744, 108.94692
34.23782, 108.94692
34.23822, 108.94692
34.23866, 108.94692
34.23910, 108.94692
34.23952, 108.94693
34.23984, 108.94693
34.24035, 108.94694
34.24056, 108.94695
34.24078, 108.94695
34.24086, 108.94695
34.24103, 108.94695
34.24125, 108.94704
34.24151, 108.94696
34.24186, 108.94697
34.24228, 108.94698
34.24271, 108.94698
34.24314, 108.94698
34.24355, 108.94698
34.24395, 108.94698
34.24435, 108.94699
34.24474, 108.94699
34.24515, 108.94699
34.24552, 108.94699
34.24587, 108.94699
34.24624, 108.94699
34.24700, 108.94699
34.24739, 108.94699
34.24813, 108.94700
34.24846, 108.94705
34.24875, 108.94722
34.24892, 108.94750
34.24917, 108.94763
34.24947, 108.94767
34.24979, 108.94769
34.25013, 108.94771
34.25050, 108.94771
34.25089, 108.94772
34.25126, 108.94772
34.25162, 108.94772
34.25194, 108.94773
34.25224, 108.94772
34.25252, 108.94760
34.25269, 108.94739
34.25287, 108.94713
34.25310, 108.94712
34.25339, 108.94712
34.25371, 108.94712
34.25405, 108.94711
34.25444, 108.94711
34.25484, 108.94710
34.25522, 108.94710
34.25559, 108.94710
34.25598, 108.94710
34.25677, 108.94709
34.25718, 108.94709
34.25760, 108.94709
34.25801, 108.94709
34.25839, 108.94709
34.25869, 108.94709
34.25887, 108.94710
34.25905, 108.94725
34.25914, 108.94738
34.25925, 108.94749
34.25945, 108.94753
34.25967, 108.94742
34.25994, 108.94716
34.26024, 108.94715
34.26058, 108.94716
34.26098, 108.94717
34.26139, 108.94717
34.26181, 108.94717
34.26221, 108.94717
34.26259, 108.94717
34.26295, 108.94718
34.26324, 108.94718
34.26348, 108.94719
34.26369, 108.94720
34.26387, 108.94720
34.26406, 108.94720
34.26424, 108.94720
34.26444, 108.94721
34.26463, 108.94721
34.26481, 108.94721
34.26496, 108.94721
34.26506, 108.94721
34.26520, 108.94721
34.26527, 108.94721
34.26543, 108.94722
34.26560, 108.94722
34.26582, 108.94722
34.26602, 108.94722
34.26611, 108.94722
34.26626, 108.94722
34.26638, 108.94722
34.26659, 108.94723
34.26677, 108.94723
34.26702, 108.94724
34.26731, 108.94724
34.26763, 108.94724
34.26796, 108.94724
34.26830, 108.94724
34.26869, 108.94724
34.26904, 108.94725
34.26930, 108.94725
34.26942, 108.94726
34.26955, 108.94726
34.26983, 108.94727
34.27012, 108.94727
34.27045, 108.94727
34.27079, 108.94727
34.27116, 108.94728
34.27154, 108.94728
34.27191, 108.94729
34.27227, 108.94729
34.27261, 108.94730
34.27291, 108.94730
34.27311, 108.94731
34.27323, 108.94731
34.27333, 108.94731
34.27360, 108.94731
34.27384, 108.94732
34.27410, 108.94732
34.27440, 108.94732
34.27474, 108.94732
34.27505, 108.94732
34.27528, 108.94750
34.27545, 108.94774
34.27574, 108.94787
34.27606, 108.94788
34.27637, 108.94788
34.27662, 108.94784
34.27676, 108.94779
34.27686, 108.94773
34.27700, 108.94749
34.27735, 108.94730
34.27766, 108.94730
34.27798, 108.94731
34.27835, 108.94731
34.27871, 108.94731
34.27907, 108.94731
34.27944, 108.94730
