latitude,longitude
34.25214, 108.96101
34.25213, 108.96108
34.25214, 108.96128
34.25215, 108.96154
34.25217, 108.96178
34.25218, 108.96199
34.25219, 108.96220
34.25220, 108.96242
34.25221, 108.96265
34.25222, 108.96296
34.25223, 108.96313
34.25205, 108.96331
34.25182, 108.96331
34.25141, 108.96333
34.25121, 108.96334
34.25109, 108.96322
34.25108, 108.96303
34.25108, 108.96267
34.25108, 108.96222
34.25107, 108.96175
34.25107, 108.96130
34.25107, 108.96087
34.25107, 108.96044
34.25106, 108.95999
34.25106, 108.95952
34.25106, 108.95907
34.25106, 108.95861
34.25105, 108.95815
34.25105, 108.95771
34.25105, 108.95723
34.25105, 108.95679
34.25105, 108.95634
34.25105, 108.95591
34.25105, 108.95553
34.25105, 108.95518
34.25105, 108.95485
34.25105, 108.95426
34.25105, 108.95397
34.25105, 108.95374
34.25105, 108.95348
34.25105, 108.95316
34.25104, 108.95283
34.25104, 108.95245
34.25102, 108.95208
34.25099, 108.95175
34.25099, 108.95140
34.25099, 108.95104
34.25094, 108.95070
34.25086, 108.95047
34.25074, 108.95023
34.25058, 108.95001
34.25038, 108.94979
34.25018, 108.94952
34.25000, 108.94919
34.24989, 108.94879
34.24986, 108.94832
34.24987, 108.94781
34.24988, 108.94729
34.24989, 108.94676
34.24991, 108.94624
34.24993, 108.94577
34.25011, 108.94475
34.25032, 108.94447
34.25059, 108.94417
34.25082, 108.94381
34.25096, 108.94342
34.25097, 108.94309
34.25098, 108.94276
34.25098, 108.94244
34.25098, 108.94207
34.25098, 108.94127
34.25104, 108.94085
34.25104, 108.94040
34.25104, 108.94008
34.25104, 108.93975
34.25104, 108.93954
34.25104, 108.93940
34.25104, 108.93931
34.25104, 108.93921
34.25115, 108.93920
34.25137, 108.93919
34.25155, 108.93919
34.25175, 108.93918
34.25193, 108.93917
34.25230, 108.93917
34.25245, 108.93938
34.25244, 108.93953
34.25243, 108.93971
34.25242, 108.93986
