latitude,longitude
34.26761, 108.96700
34.26770, 108.96700
34.26790, 108.96699
34.26799, 108.96699
34.26814, 108.96698
34.26833, 108.96698
34.26854, 108.96698
34.26874, 108.96698
34.26893, 108.96698
34.26905, 108.96698
34.26912, 108.96698
34.26925, 108.96698
34.26935, 108.96698
34.26942, 108.96698
34.26954, 108.96698
34.26968, 108.96698
34.26981, 108.96698
34.26992, 108.96699
34.27008, 108.96680
34.27008, 108.96655
34.27008, 108.96629
34.27008, 108.96595
34.27008, 108.96560
34.27008, 108.96542
34.27008, 108.96522
34.27007, 108.96505
34.27006, 108.96483
34.27006, 108.96450
34.27006, 108.96415
34.27006, 108.96380
34.27008, 108.96347
34.27018, 108.96329
34.27024, 108.96319
34.27036, 108.96306
34.27066, 108.96301
34.27090, 108.96300
34.27116, 108.96299
34.27134, 108.96299
34.27148, 108.96299
34.27164, 108.96298
34.27178, 108.96298
34.27191, 108.96297
34.27208, 108.96297
34.27233, 108.96297
34.27262, 108.96292
34.27292, 108.96292
34.27321, 108.96292
34.27342, 108.96292
34.27352, 108.96292
34.27340, 108.96280
34.27302, 108.96280
34.27278, 108.96280
34.27254, 108.96280
34.27232, 108.96280
34.27208, 108.96280
34.27183, 108.96280
34.27165, 108.96280
34.27150, 108.96280
34.27124, 108.96269
