latitude,longitude
34.22288, 108.95512
34.22288, 108.95489
34.22288, 108.95474
34.22288, 108.95452
34.22288, 108.95426
34.22288, 108.95401
34.22288, 108.95377
34.22288, 108.95368
34.22289, 108.95350
34.22288, 108.95329
34.22288, 108.95304
34.22288, 108.95275
34.22288, 108.95245
34.22287, 108.95214
34.22287, 108.95187
34.22287, 108.95158
34.22287, 108.95133
34.22287, 108.95113
34.22287, 108.95094
34.22287, 108.95084
34.22287, 108.95071
34.22287, 108.95064
34.22287, 108.95052
34.22287, 108.95040
34.22287, 108.95029
34.22287, 108.95009
34.22287, 108.94997
34.22287, 108.94984
34.22288, 108.94968
34.22288, 108.94957
34.22288, 108.94943
34.22288, 108.94934
34.22288, 108.94913
34.22288, 108.94904
34.22288, 108.94892
34.22288, 108.94877
34.22288, 108.94863
34.22288, 108.94854
34.22288, 108.94827
34.22288, 108.94805
34.22288, 108.94793
34.22288, 108.94775
34.22288, 108.94765
34.22288, 108.94743
34.22288, 108.94728
34.22288, 108.94714
34.22288, 108.94697
34.22288, 108.94687
34.22288, 108.94670
34.22287, 108.94647
34.22287, 108.94618
34.22287, 108.94595
34.22287, 108.94568
34.22287, 108.94543
34.22287, 108.94516
34.22288, 108.94490
34.22288, 108.94462
34.22288, 108.94440
34.22288, 108.94418
34.22288, 108.94393
34.22288, 108.94369
34.22288, 108.94349
34.22288, 108.94295
34.22288, 108.94269
34.22288, 108.94247
34.22289, 108.94231
34.22288, 108.94212
34.22288, 108.94189
34.22288, 108.94162
34.22288, 108.94133
34.22288, 108.94106
34.22288, 108.94081
34.22288, 108.94057
34.22288, 108.93992
34.22288, 108.93983
34.22288, 108.93976
34.22288, 108.93950
34.22288, 108.93933
34.22288, 108.93921
34.22288, 108.93905
34.22288, 108.93878
34.22288, 108.93861
34.22288, 108.93843
34.22288, 108.93826
34.22288, 108.93816
34.22288, 108.93794
34.22288, 108.93775
34.22288, 108.93754
34.22287, 108.93731
34.22287, 108.93705
34.22287, 108.93679
34.22287, 108.93653
34.22287, 108.93626
34.22287, 108.93569
34.22287, 108.93539
34.22287, 108.93505
34.22287, 108.93472
34.22287, 108.93440
34.22287, 108.93408
34.22287, 108.93377
34.22287, 108.93347
34.22287, 108.93317
34.22287, 108.93254
34.22287, 108.93229
34.22294, 108.93191
34.22294, 108.93171
34.22294, 108.93134
34.22294, 108.93118
34.22294, 108.93095
34.22294, 108.93078
34.22294, 108.93060
34.22294, 108.93048
34.22294, 108.93027
34.22294, 108.93009
34.22294, 108.92987
34.22294, 108.92964
34.22294, 108.92943
34.22294, 108.92927
34.22294, 108.92917
34.22294, 108.92900
34.22294, 108.92876
34.22294, 108.92866
34.22294, 108.92846
34.22294, 108.92834
34.22294, 108.92825
34.22294, 108.92816
34.22294, 108.92794
34.22294, 108.92772
34.22294, 108.92747
34.22294, 108.92723
34.22294, 108.92688
34.22294, 108.92673
34.22294, 108.92660
34.22294, 108.92651
34.22294, 108.92636
34.22294, 108.92612
34.22294, 108.92594
34.22294, 108.92542
34.22294, 108.92513
34.22294, 108.92491
34.22291, 108.92490
34.22294, 108.92489
