latitude,longitude
34.20642, 108.94674
34.20683, 108.94674
34.20721, 108.94674
34.20761, 108.94675
34.20795, 108.94675
34.20822, 108.94675
34.20852, 108.94675
34.20884, 108.94676
34.20919, 108.94675
34.20957, 108.94675
34.20996, 108.94675
34.21033, 108.94675
34.21067, 108.94675
34.21137, 108.94674
34.21148, 108.94674
34.21171, 108.94674
34.21192, 108.94674
34.21219, 108.94674
34.21250, 108.94674
34.21287, 108.94674
34.21331, 108.94675
34.21375, 108.94675
34.21421, 108.94675
34.21467, 108.94675
34.21513, 108.94676
34.21559, 108.94677
34.21602, 108.94677
34.21644, 108.94677
34.21684, 108.94678
34.21733, 108.94678
34.21760, 108.94678
34.21771, 108.94678
34.21783, 108.94678
34.21798, 108.94678
34.21842, 108.94678
34.21877, 108.94678
34.21921, 108.94679
34.21970, 108.94680
34.22017, 108.94680
34.22067, 108.94681
34.22112, 108.94682
34.22151, 108.94682
34.22184, 108.94678
34.22214, 108.94673
34.22236, 108.94673
34.22249, 108.94673
34.22256, 108.94674
34.22263, 108.94674
34.22281, 108.94670
34.22287, 108.94639
34.22287, 108.94607
34.22287, 108.94573
34.22287, 108.94533
34.22288, 108.94486
34.22288, 108.94440
34.22288, 108.94397
34.22288, 108.94355
34.22288, 108.94316
34.22288, 108.94280
34.22288, 108.94251
34.22288, 108.94231
34.22288, 108.94219
34.22310, 108.94207
34.22330, 108.94207
34.22354, 108.94208
34.22377, 108.94208
34.22399, 108.94208
34.22422, 108.94209
34.22444, 108.94209
34.22464, 108.94210
34.22484, 108.94210
34.22503, 108.94210
34.22518, 108.94210
