latitude,longitude
34.20609, 108.93907
34.20641, 108.93908
34.20664, 108.93909
34.20681, 108.93909
34.20706, 108.93910
34.20729, 108.93910
34.20750, 108.93910
34.20766, 108.93911
34.20788, 108.93911
34.20811, 108.93912
34.20835, 108.93912
34.20847, 108.93913
34.20873, 108.93912
34.20888, 108.93912
34.20904, 108.93912
34.20948, 108.93912
34.20973, 108.93913
34.20997, 108.93913
34.21024, 108.93914
34.21048, 108.93914
34.21073, 108.93915
34.21086, 108.93914
34.21101, 108.93914
34.21123, 108.93913
34.21146, 108.93912
34.21152, 108.93912
34.21181, 108.93887
34.21181, 108.93881
34.21181, 108.93863
34.21182, 108.93844
34.21182, 108.93828
34.21183, 108.93808
34.21183, 108.93785
34.21184, 108.93764
34.21184, 108.93739
34.21185, 108.93710
34.21186, 108.93682
34.21187, 108.93658
