latitude,longitude
34.27967, 108.94714
34.27950, 108.94714
34.27934, 108.94714
34.27922, 108.94710
34.27900, 108.94706
34.27878, 108.94705
34.27853, 108.94704
34.27821, 108.94703
34.27802, 108.94702
34.27768, 108.94700
34.27746, 108.94696
34.27734, 108.94695
34.27697, 108.94686
34.27684, 108.94670
34.27676, 108.94661
34.27666, 108.94656
34.27644, 108.94652
34.27626, 108.94651
34.27610, 108.94648
34.27590, 108.94647
34.27572, 108.94649
34.27559, 108.94658
34.27542, 108.94672
34.27530, 108.94688
34.27507, 108.94715
34.27489, 108.94715
34.27468, 108.94715
34.27454, 108.94715
34.27438, 108.94715
34.27412, 108.94715
34.27399, 108.94715
34.27390, 108.94715
34.27378, 108.94715
34.27353, 108.94715
34.27324, 108.94715
34.27298, 108.94715
34.27265, 108.94715
34.27236, 108.94715
34.27207, 108.94714
34.27177, 108.94714
34.27150, 108.94714
34.27125, 108.94714
34.27102, 108.94713
34.27091, 108.94713
34.27072, 108.94712
34.27064, 108.94712
34.27055, 108.94712
