latitude,longitude
34.23165, 108.94674
34.23158, 108.94674
34.23148, 108.94674
34.23132, 108.94674
34.23112, 108.94674
34.23092, 108.94673
34.23073, 108.94669
34.23055, 108.94668
34.23044, 108.94668
34.23035, 108.94668
34.23022, 108.94668
34.23008, 108.94668
34.22997, 108.94668
34.22981, 108.94664
34.22971, 108.94655
34.22964, 108.94643
34.22963, 108.94627
34.22963, 108.94604
34.22964, 108.94581
34.22966, 108.94559
34.22967, 108.94543
34.22967, 108.94527
34.22972, 108.94516
34.22980, 108.94509
34.22995, 108.94510
34.23006, 108.94532
34.23007, 108.94549
34.23006, 108.94574
34.23005, 108.94608
34.23004, 108.94643
34.23004, 108.94681
34.23003, 108.94721
34.23003, 108.94759
34.23003, 108.94794
34.23003, 108.94827
34.23003, 108.94860
34.23004, 108.94892
34.23004, 108.94922
34.23004, 108.94944
34.23005, 108.94963
34.23005, 108.94984
34.23005, 108.95010
34.23005, 108.95040
34.23002, 108.95065
34.23002, 108.95093
34.23002, 108.95122
34.23001, 108.95149
34.23001, 108.95176
34.23001, 108.95206
34.23000, 108.95240
34.23000, 108.95273
34.22999, 108.95311
34.22999, 108.95347
34.22999, 108.95381
34.22999, 108.95417
34.22999, 108.95455
34.22999, 108.95490
34.22999, 108.95523
34.22999, 108.95550
34.22999, 108.95577
34.22999, 108.95606
34.23000, 108.95647
34.22999, 108.95669
34.22999, 108.95696
34.23003, 108.95730
34.23003, 108.95761
34.23001, 108.95792
34.23001, 108.95821
34.23001, 108.95852
34.23001, 108.95882
34.23001, 108.95974
34.23001, 108.96008
34.23001, 108.96040
34.23003, 108.96068
34.23003, 108.96093
34.23002, 108.96114
34.23001, 108.96140
34.23001, 108.96167
34.23001, 108.96200
34.23001, 108.96234
34.23001, 108.96270
34.23001, 108.96305
34.23001, 108.96342
34.23002, 108.96379
34.23003, 108.96416
34.23003, 108.96454
34.23005, 108.96495
34.23007, 108.96528
34.23017, 108.96559
34.23029, 108.96592
34.23041, 108.96624
34.23062, 108.96677
34.23071, 108.96701
34.23078, 108.96720
34.23082, 108.96738
34.23087, 108.96762
34.23102, 108.96788
34.23116, 108.96816
34.23130, 108.96849
34.23143, 108.96881
34.23169, 108.96942
34.23180, 108.96968
34.23191, 108.96994
34.23195, 108.97018
34.23192, 108.97036
34.23189, 108.97058
34.23192, 108.97070
34.23195, 108.97078
34.23201, 108.97097
34.23207, 108.97120
34.23212, 108.97139
34.23215, 108.97163
34.23219, 108.97184
34.23225, 108.97206
34.23235, 108.97233
34.23247, 108.97260
34.23257, 108.97285
34.23266, 108.97309
34.23271, 108.97322
34.23274, 108.97337
34.23271, 108.97342
34.23269, 108.97351
34.23273, 108.97359
