latitude,longitude
34.20663, 108.95652
34.20697, 108.95652
34.20732, 108.95653
34.20771, 108.95655
34.20810, 108.95654
34.20848, 108.95654
34.20881, 108.95654
34.20891, 108.95654
34.20905, 108.95654
34.20923, 108.95653
34.20948, 108.95653
34.20976, 108.95653
34.20997, 108.95653
34.21017, 108.95653
34.21041, 108.95653
34.21070, 108.95653
34.21105, 108.95654
34.21133, 108.95653
34.21153, 108.95653
34.21170, 108.95629
34.21170, 108.95609
34.21170, 108.95580
34.21170, 108.95543
34.21170, 108.95501
34.21171, 108.95457
34.21172, 108.95415
34.21173, 108.95368
34.21173, 108.95317
34.21174, 108.95266
34.21174, 108.95213
34.21174, 108.95157
34.21174, 108.95100
34.21175, 108.95048
34.21176, 108.94993
34.21175, 108.94936
34.21174, 108.94879
34.21172, 108.94832
34.21172, 108.94794
34.21171, 108.94762
34.21170, 108.94734
34.21167, 108.94710
34.21164, 108.94687
34.21192, 108.94674
34.21212, 108.94674
34.21268, 108.94674
34.21300, 108.94674
34.21337, 108.94675
34.21370, 108.94675
34.21407, 108.94675
34.21453, 108.94675
34.21497, 108.94675
34.21542, 108.94677
34.21588, 108.94677
34.21634, 108.94677
34.21678, 108.94678
34.21711, 108.94678
34.21739, 108.94678
34.21763, 108.94678
34.21781, 108.94678
34.21794, 108.94678
34.21813, 108.94678
34.21833, 108.94678
34.21850, 108.94678
34.21856, 108.94678
34.21876, 108.94678
34.21892, 108.94678
34.21914, 108.94678
34.21937, 108.94679
34.21961, 108.94680
34.21980, 108.94680
34.22001, 108.94680
34.22024, 108.94680
34.22048, 108.94681
34.22068, 108.94681
34.22087, 108.94681
34.22112, 108.94682
34.22169, 108.94682
34.22197, 108.94682
34.22223, 108.94682
34.22241, 108.94682
34.22251, 108.94682
34.22258, 108.94682
34.22275, 108.94683
34.22295, 108.94683
34.22316, 108.94683
34.22338, 108.94683
34.22356, 108.94683
34.22374, 108.94683
34.22390, 108.94683
34.22406, 108.94683
34.22425, 108.94683
34.22448, 108.94683
34.22466, 108.94684
34.22482, 108.94684
34.22497, 108.94684
34.22512, 108.94684
34.22528, 108.94684
34.22554, 108.94685
34.22578, 108.94685
34.22604, 108.94685
34.22630, 108.94685
34.22658, 108.94686
34.22679, 108.94686
34.22735, 108.94694
34.22769, 108.94695
34.22808, 108.94688
34.22855, 108.94688
34.22875, 108.94688
34.22897, 108.94687
34.22910, 108.94687
