latitude,longitude
34.26435, 108.96346
34.26435, 108.96331
34.26441, 108.96299
34.26441, 108.96276
34.26441, 108.96249
34.26441, 108.96226
34.26441, 108.96204
34.26441, 108.96180
34.26441, 108.96158
34.26441, 108.96135
34.26441, 108.96107
34.26441, 108.96081
34.26441, 108.96069
34.26451, 108.96058
34.26473, 108.96058
34.26498, 108.96058
34.26528, 108.96059
34.26562, 108.96059
34.26596, 108.96058
34.26633, 108.96058
34.26673, 108.96058
34.26712, 108.96058
34.26753, 108.96058
34.26797, 108.96058
34.26839, 108.96058
34.26881, 108.96058
34.26915, 108.96058
34.26939, 108.96058
34.26946, 108.96058
34.26967, 108.96058
34.26987, 108.96058
34.27040, 108.96058
34.27105, 108.96058
34.27141, 108.96058
34.27178, 108.96058
34.27218, 108.96059
34.27257, 108.96059
34.27293, 108.96059
34.27327, 108.96059
34.27358, 108.96059
34.27388, 108.96060
34.27416, 108.96059
34.27448, 108.96058
34.27480, 108.96058
34.27498, 108.96058
34.27519, 108.96058
34.27543, 108.96058
34.27557, 108.96058
34.27569, 108.96058
34.27577, 108.96058
34.27585, 108.96058
34.27595, 108.96058
34.27602, 108.96058
34.27615, 108.96061
34.27637, 108.96061
34.27658, 108.96054
34.27670, 108.96055
34.27682, 108.96056
34.27694, 108.96038
34.27694, 108.96013
34.27694, 108.95985
34.27695, 108.95950
34.27696, 108.95912
34.27695, 108.95873
34.27690, 108.95835
34.27692, 108.95801
34.27694, 108.95765
34.27696, 108.95726
34.27698, 108.95683
34.27699, 108.95638
34.27699, 108.95593
34.27699, 108.95549
34.27699, 108.95506
34.27699, 108.95467
34.27699, 108.95427
34.27699, 108.95388
34.27699, 108.95348
34.27697, 108.95307
34.27696, 108.95265
34.27695, 108.95227
34.27695, 108.95192
34.27694, 108.95159
34.27703, 108.95126
34.27708, 108.95092
34.27709, 108.95054
34.27718, 108.95007
34.27714, 108.94957
34.27699, 108.94911
34.27687, 108.94864
34.27688, 108.94823
34.27688, 108.94787
34.27697, 108.94758
34.27730, 108.94743
34.27755, 108.94740
34.27770, 108.94739
34.27802, 108.94738
34.27836, 108.94738
34.27872, 108.94738
34.27908, 108.94730
34.27942, 108.94730
34.27970, 108.94730
