latitude,longitude
34.24253, 108.96345
34.24236, 108.96345
34.24220, 108.96345
34.24212, 108.96346
34.24197, 108.96346
34.24185, 108.96346
34.24168, 108.96346
34.24144, 108.96346
34.24133, 108.96347
34.24126, 108.96347
34.24120, 108.96355
34.24120, 108.96366
34.24120, 108.96377
34.24120, 108.96395
34.24120, 108.96418
34.24120, 108.96447
34.24120, 108.96485
34.24120, 108.96526
34.24120, 108.96566
34.24119, 108.96603
34.24118, 108.96649
34.24118, 108.96688
34.24118, 108.96728
34.24118, 108.96771
34.24118, 108.96808
34.24118, 108.96845
34.24118, 108.96878
34.24118, 108.96913
34.24118, 108.96959
34.24118, 108.97000
34.24118, 108.97040
34.24119, 108.97079
34.24119, 108.97117
34.24119, 108.97154
34.24119, 108.97184
34.24119, 108.97225
34.24146, 108.97237
34.24197, 108.97236
34.24230, 108.97235
34.24262, 108.97235
34.24293, 108.97235
34.24322, 108.97235
34.24350, 108.97235
34.24380, 108.97235
34.24412, 108.97235
34.24443, 108.97235
34.24474, 108.97235
34.24498, 108.97235
34.24514, 108.97235
34.24533, 108.97235
34.24547, 108.97235
34.24558, 108.97235
34.24570, 108.97235
34.24590, 108.97235
34.24607, 108.97236
34.24628, 108.97236
34.24654, 108.97236
34.24681, 108.97237
34.24709, 108.97237
34.24738, 108.97238
34.24764, 108.97239
34.24787, 108.97239
34.24805, 108.97238
34.24823, 108.97237
34.24847, 108.97237
34.24860, 108.97237
34.24881, 108.97244
34.24891, 108.97244
34.24904, 108.97244
