latitude,longitude
34.25934, 108.99815
34.25935, 108.99786
34.25937, 108.99758
34.25939, 108.99734
34.25940, 108.99717
34.25957, 108.99697
34.25963, 108.99689
34.25968, 108.99669
34.25962, 108.99653
34.25957, 108.99646
34.25941, 108.99638
34.25923, 108.99641
34.25908, 108.99652
34.25885, 108.99655
34.25863, 108.99656
34.25847, 108.99657
34.25822, 108.99651
34.25821, 108.99627
34.25821, 108.99601
34.25821, 108.99575
34.25821, 108.99538
34.25820, 108.99503
34.25820, 108.99464
34.25820, 108.99428
34.25820, 108.99392
34.25819, 108.99351
34.25819, 108.99319
34.25819, 108.99293
34.25819, 108.99270
34.25818, 108.99241
34.25818, 108.99211
34.25818, 108.99188
34.25817, 108.99163
34.25817, 108.99140
34.25817, 108.99114
34.25817, 108.99084
34.25816, 108.99056
34.25815, 108.99029
34.25815, 108.99002
34.25815, 108.98974
34.25816, 108.98945
34.25816, 108.98917
34.25817, 108.98894
34.25817, 108.98869
34.25817, 108.98854
34.25817, 108.98842
34.25818, 108.98834
34.25817, 108.98825
34.25785, 108.98814
34.25764, 108.98815
34.25735, 108.98815
34.25707, 108.98815
34.25672, 108.98815
34.25642, 108.98815
34.25611, 108.98814
34.25576, 108.98814
34.25541, 108.98814
34.25511, 108.98814
34.25480, 108.98814
34.25455, 108.98814
34.25419, 108.98814
34.25386, 108.98814
34.25358, 108.98813
34.25330, 108.98813
34.25302, 108.98813
34.25277, 108.98813
34.25238, 108.98812
34.25209, 108.98812
34.25182, 108.98812
34.25159, 108.98812
34.25148, 108.98812
34.25124, 108.98812
34.25113, 108.98812
34.25074, 108.98812
34.25043, 108.98811
34.25012, 108.98810
34.24980, 108.98809
34.24945, 108.98809
34.24913, 108.98809
34.24874, 108.98808
34.24831, 108.98808
34.24807, 108.98826
34.24813, 108.98826
34.24793, 108.98808
34.24778, 108.98808
34.24764, 108.98808
34.24734, 108.98807
34.24704, 108.98806
34.24680, 108.98806
34.24658, 108.98806
34.24625, 108.98806
34.24598, 108.98805
34.24573, 108.98805
34.24547, 108.98805
34.24522, 108.98805
34.24499, 108.98805
34.24488, 108.98805
34.24469, 108.98805
34.24437, 108.98805
34.24405, 108.98805
34.24376, 108.98805
34.24349, 108.98806
34.24332, 108.98806
34.24320, 108.98806
34.24311, 108.98806
34.24302, 108.98806
