latitude,longitude
34.26995, 108.94628
34.26995, 108.94612
34.26995, 108.94590
34.26995, 108.94564
34.26995, 108.94533
34.26994, 108.94498
34.26994, 108.94463
34.26994, 108.94424
34.26994, 108.94382
34.26994, 108.94350
34.26993, 108.94318
34.26993, 108.94308
34.26993, 108.94297
34.26993, 108.94285
34.26992, 108.94254
34.26992, 108.94216
34.26990, 108.94163
34.26989, 108.94104
34.26988, 108.94048
34.26987, 108.93984
34.26986, 108.93929
34.26986, 108.93872
34.26986, 108.93822
34.26986, 108.93769
34.26985, 108.93721
34.26985, 108.93678
34.26985, 108.93633
34.26983, 108.93587
34.26983, 108.93542
34.26983, 108.93497
34.26982, 108.93456
34.26982, 108.93426
34.26981, 108.93395
34.26979, 108.93363
34.26979, 108.93333
34.26979, 108.93309
34.26980, 108.93293
34.26997, 108.93293
34.27023, 108.93295
34.27047, 108.93296
34.27074, 108.93297
34.27101, 108.93298
34.27131, 108.93299
34.27165, 108.93300
34.27196, 108.93301
34.27231, 108.93302
34.27263, 108.93302
34.27288, 108.93302
34.27304, 108.93303
34.27317, 108.93303
34.27321, 108.93303
34.27333, 108.93303
34.27341, 108.93303
34.27361, 108.93292
34.27361, 108.93272
34.27361, 108.93241
34.27361, 108.93226
34.27361, 108.93196
34.27361, 108.93167
34.27361, 108.93141
34.27361, 108.93102
34.27361, 108.93075
34.27361, 108.93022
34.27362, 108.92990
34.27362, 108.92970
34.27362, 108.92955
34.27362, 108.92945
34.27362, 108.92927
34.27362, 108.92903
34.27362, 108.92881
34.27363, 108.92856
34.27363, 108.92840
34.27365, 108.92789
34.27365, 108.92770
34.27365, 108.92765
