latitude,longitude
34.21582, 108.94661
34.21573, 108.94661
34.21565, 108.94661
34.21552, 108.94661
34.21531, 108.94661
34.21508, 108.94661
34.21485, 108.94661
34.21461, 108.94661
34.21436, 108.94661
34.21408, 108.94661
34.21379, 108.94660
34.21350, 108.94660
34.21321, 108.94660
34.21291, 108.94659
34.21261, 108.94659
34.21232, 108.94659
34.21203, 108.94658
34.21177, 108.94658
34.21150, 108.94658
34.21121, 108.94658
34.21089, 108.94659
34.21056, 108.94661
34.21024, 108.94661
34.20993, 108.94661
34.20960, 108.94661
34.20894, 108.94661
34.20862, 108.94660
34.20833, 108.94660
34.20803, 108.94659
34.20772, 108.94659
34.20741, 108.94659
34.20710, 108.94659
34.20678, 108.94659
34.20646, 108.94658
