latitude,longitude
34.27836, 108.99553
34.27812, 108.99553
34.27784, 108.99553
34.27752, 108.99553
34.27722, 108.99553
34.27694, 108.99553
34.27669, 108.99554
34.27641, 108.99554
34.27613, 108.99554
34.27586, 108.99555
34.27560, 108.99555
34.27530, 108.99556
34.27499, 108.99556
34.27466, 108.99556
34.27432, 108.99556
34.27371, 108.99556
34.27338, 108.99556
34.27301, 108.99556
34.27240, 108.99554
34.27211, 108.99554
34.27183, 108.99554
34.27150, 108.99554
34.27119, 108.99554
34.27087, 108.99553
34.27054, 108.99553
34.27022, 108.99553
34.26991, 108.99553
34.26960, 108.99553
34.26927, 108.99552
34.26896, 108.99552
34.26866, 108.99552
34.26837, 108.99552
34.26808, 108.99552
34.26778, 108.99552
34.26751, 108.99552
34.26724, 108.99552
34.26671, 108.99552
34.26644, 108.99551
34.26621, 108.99551
34.26597, 108.99551
34.26576, 108.99551
34.26548, 108.99542
34.26521, 108.99542
34.26464, 108.99542
34.26434, 108.99542
34.26402, 108.99542
34.26370, 108.99542
34.26344, 108.99551
34.26320, 108.99551
34.26302, 108.99551
34.26295, 108.99552
34.26282, 108.99552
