latitude,longitude
34.24100, 108.91189
34.24100, 108.91217
34.24100, 108.91251
34.24100, 108.91285
34.24101, 108.91325
34.24101, 108.91367
34.24101, 108.91413
34.24101, 108.91458
34.24102, 108.91500
34.24102, 108.91541
34.24102, 108.91582
34.24102, 108.91621
34.24102, 108.91666
34.24103, 108.91710
34.24103, 108.91753
34.24103, 108.91836
34.24104, 108.91878
34.24104, 108.91916
34.24104, 108.91957
34.24104, 108.91995
34.24104, 108.92024
34.24104, 108.92048
34.24104, 108.92074
34.24104, 108.92106
34.24104, 108.92136
34.24104, 108.92164
34.24104, 108.92178
34.24104, 108.92190
34.24104, 108.92204
34.24104, 108.92224
34.24105, 108.92237
34.24105, 108.92249
34.24105, 108.92267
34.24105, 108.92292
34.24105, 108.92309
34.24098, 108.92329
34.24096, 108.92353
34.24096, 108.92377
34.24096, 108.92397
34.24096, 108.92421
34.24096, 108.92453
34.24097, 108.92482
34.24097, 108.92510
34.24097, 108.92538
34.24098, 108.92571
34.24098, 108.92600
34.24098, 108.92625
34.24098, 108.92645
34.24098, 108.92664
34.24098, 108.92682
34.24099, 108.92698
34.24099, 108.92707
