latitude,longitude
34.25101, 108.98373
34.25101, 108.98381
34.25101, 108.98392
34.25101, 108.98405
34.25101, 108.98418
34.25101, 108.98440
34.25101, 108.98460
34.25101, 108.98477
34.25101, 108.98497
34.25101, 108.98518
34.25101, 108.98539
34.25103, 108.98562
34.25104, 108.98587
34.25104, 108.98606
34.25105, 108.98623
34.25106, 108.98646
34.25107, 108.98664
34.25103, 108.98687
34.25101, 108.98702
34.25102, 108.98714
34.25102, 108.98721
34.25102, 108.98732
34.25103, 108.98745
34.25104, 108.98761
34.25104, 108.98777
34.25105, 108.98787
34.25105, 108.98798
34.25100, 108.98811
34.25104, 108.98824
34.25106, 108.98851
34.25105, 108.98867
34.25105, 108.98879
34.25105, 108.98889
34.25105, 108.98905
34.25105, 108.98913
34.25105, 108.98923
34.25105, 108.98941
34.25105, 108.98964
34.25105, 108.98984
34.25105, 108.99007
34.25105, 108.99034
34.25105, 108.99072
34.25105, 108.99092
34.25105, 108.99123
34.25105, 108.99154
34.25105, 108.99184
34.25105, 108.99217
34.25105, 108.99245
34.25105, 108.99279
34.25105, 108.99313
34.25105, 108.99356
34.25105, 108.99381
34.25105, 108.99412
34.25105, 108.99436
34.25099, 108.99447
34.25099, 108.99461
34.25099, 108.99477
34.25099, 108.99501
34.25099, 108.99534
34.25099, 108.99563
34.25099, 108.99591
34.25099, 108.99620
34.25099, 108.99634
34.25099, 108.99648
34.25099, 108.99665
34.25099, 108.99691
34.25099, 108.99719
34.25099, 108.99746
34.25099, 108.99779
34.25099, 108.99812
