latitude,longitude
34.24953, 108.94854
34.24954, 108.94873
34.24960, 108.94902
34.24964, 108.94923
34.24972, 108.94944
34.24984, 108.94968
34.25001, 108.94988
34.25019, 108.95004
34.25038, 108.95009
34.25058, 108.95023
34.25074, 108.95049
34.25083, 108.95077
34.25087, 108.95107
34.25087, 108.95138
34.25087, 108.95167
34.25082, 108.95201
34.25080, 108.95230
34.25080, 108.95263
34.25081, 108.95292
34.25081, 108.95318
34.25081, 108.95341
34.25081, 108.95354
34.25081, 108.95369
34.25081, 108.95379
34.25081, 108.95396
34.25081, 108.95413
34.25081, 108.95435
34.25081, 108.95460
34.25081, 108.95487
34.25082, 108.95521
34.25082, 108.95559
34.25083, 108.95599
34.25083, 108.95642
34.25084, 108.95685
34.25084, 108.95729
34.25085, 108.95772
34.25085, 108.95812
34.25085, 108.95891
34.25085, 108.95923
34.25085, 108.95951
34.25085, 108.95972
34.25085, 108.95986
34.25085, 108.96001
34.25085, 108.96010
34.25086, 108.96035
34.25086, 108.96058
34.25086, 108.96086
34.25086, 108.96118
34.25086, 108.96152
34.25087, 108.96189
34.25087, 108.96241
34.25087, 108.96304
34.25075, 108.96334
34.25056, 108.96334
34.25029, 108.96334
34.25003, 108.96334
34.24975, 108.96333
34.24945, 108.96333
34.24913, 108.96333
34.24881, 108.96333
34.24850, 108.96333
34.24822, 108.96334
34.24796, 108.96335
34.24772, 108.96335
34.24750, 108.96337
34.24739, 108.96337
34.24725, 108.96338
34.24718, 108.96338
34.24700, 108.96338
34.24685, 108.96338
