latitude,longitude
34.26126, 108.94725
34.26138, 108.94726
34.26154, 108.94726
34.26167, 108.94726
34.26182, 108.94719
34.26201, 108.94717
34.26216, 108.94717
34.26245, 108.94717
34.26270, 108.94717
34.26287, 108.94718
34.26308, 108.94718
34.26332, 108.94719
34.26349, 108.94719
34.26371, 108.94720
34.26379, 108.94720
34.26390, 108.94720
34.26398, 108.94720
34.26412, 108.94720
34.26424, 108.94720
34.26432, 108.94720
34.26450, 108.94721
34.26464, 108.94721
34.26484, 108.94721
34.26517, 108.94721
34.26536, 108.94722
34.26564, 108.94722
34.26594, 108.94722
34.26622, 108.94722
34.26642, 108.94722
34.26666, 108.94723
34.26678, 108.94723
34.26686, 108.94723
34.26703, 108.94724
34.26722, 108.94724
34.26751, 108.94724
34.26780, 108.94724
34.26812, 108.94724
34.26835, 108.94724
34.26868, 108.94724
34.26878, 108.94724
34.26889, 108.94725
34.26899, 108.94725
34.26909, 108.94725
34.26932, 108.94725
34.26956, 108.94726
34.26967, 108.94726
34.26977, 108.94726
34.26983, 108.94756
34.26983, 108.94771
34.26983, 108.94801
34.26985, 108.94841
34.26986, 108.94875
34.26986, 108.94913
34.26986, 108.94982
34.26986, 108.95012
34.26986, 108.95048
34.26986, 108.95083
34.26986, 108.95120
34.26986, 108.95160
34.26987, 108.95198
34.26987, 108.95235
34.26988, 108.95265
34.26988, 108.95292
34.26988, 108.95321
34.26988, 108.95348
34.26988, 108.95376
34.26988, 108.95389
34.26988, 108.95418
34.26988, 108.95452
34.26989, 108.95483
34.26990, 108.95518
34.26991, 108.95585
34.26991, 108.95604
34.26991, 108.95619
34.26991, 108.95626
34.26991, 108.95645
34.26991, 108.95670
34.26991, 108.95697
34.26991, 108.95733
34.26992, 108.95770
34.26992, 108.95807
34.26992, 108.95843
34.26992, 108.95877
34.26992, 108.95907
34.26992, 108.95948
34.26992, 108.95985
34.26993, 108.96018
34.26993, 108.96032
34.26993, 108.96038
34.26993, 108.96047
34.26993, 108.96077
34.26993, 108.96112
34.26993, 108.96169
34.26993, 108.96202
34.26994, 108.96219
34.26988, 108.96248
34.26981, 108.96258
34.26971, 108.96272
34.26966, 108.96279
34.26931, 108.96290
34.26919, 108.96291
34.26902, 108.96291
34.26889, 108.96292
34.26870, 108.96292
34.26857, 108.96292
34.26847, 108.96292
34.26829, 108.96288
34.26809, 108.96288
34.26788, 108.96288
34.26768, 108.96289
34.26747, 108.96289
34.26722, 108.96289
34.26692, 108.96296
34.26666, 108.96296
34.26640, 108.96297
34.26618, 108.96297
34.26595, 108.96297
34.26588, 108.96298
34.26574, 108.96298
