latitude,longitude
34.27006, 108.96395
34.27006, 108.96381
34.27006, 108.96366
34.27006, 108.96338
34.27006, 108.96316
34.27006, 108.96298
34.27006, 108.96277
34.27006, 108.96260
34.27006, 108.96245
34.27006, 108.96234
34.27006, 108.96221
34.27006, 108.96198
34.27006, 108.96177
34.27006, 108.96157
34.27006, 108.96133
34.27006, 108.96110
34.27006, 108.96089
34.27006, 108.96072
34.27023, 108.96058
34.27040, 108.96058
34.27066, 108.96058
34.27100, 108.96058
34.27137, 108.96058
34.27213, 108.96059
34.27247, 108.96059
34.27281, 108.96059
34.27310, 108.96059
34.27330, 108.96059
34.27342, 108.96059
34.27356, 108.96059
34.27365, 108.96059
34.27377, 108.96060
34.27387, 108.96060
34.27399, 108.96060
34.27413, 108.96059
34.27425, 108.96059
34.27433, 108.96059
34.27445, 108.96059
34.27453, 108.96058
34.27475, 108.96058
34.27495, 108.96058
34.27521, 108.96058
34.27551, 108.96058
34.27577, 108.96058
34.27596, 108.96058
34.27606, 108.96060
34.27619, 108.96061
34.27637, 108.96061
34.27647, 108.96061
34.27656, 108.96054
34.27665, 108.96054
34.27675, 108.96056
34.27687, 108.96055
34.27694, 108.96038
34.27694, 108.96020
34.27694, 108.95997
34.27695, 108.95971
34.27695, 108.95939
34.27696, 108.95909
34.27696, 108.95882
34.27693, 108.95858
34.27690, 108.95823
34.27692, 108.95789
34.27694, 108.95750
34.27697, 108.95706
34.27698, 108.95665
34.27699, 108.95626
34.27699, 108.95589
34.27699, 108.95553
34.27699, 108.95516
34.27699, 108.95475
34.27699, 108.95437
34.27699, 108.95401
34.27699, 108.95372
34.27699, 108.95344
34.27698, 108.95320
34.27697, 108.95281
34.27696, 108.95256
34.27696, 108.95234
34.27695, 108.95215
34.27695, 108.95199
34.27694, 108.95171
34.27694, 108.95138
34.27694, 108.95100
34.27695, 108.95056
34.27696, 108.95010
34.27701, 108.94963
34.27710, 108.94916
34.27726, 108.94869
34.27742, 108.94821
34.27749, 108.94764
34.27749, 108.94704
34.27749, 108.94645
34.27749, 108.94596
34.27749, 108.94551
34.27745, 108.94507
34.27736, 108.94469
34.27722, 108.94433
34.27709, 108.94401
34.27700, 108.94373
34.27692, 108.94351
34.27688, 108.94322
34.27686, 108.94291
34.27685, 108.94256
34.27684, 108.94216
34.27683, 108.94172
34.27682, 108.94126
34.27680, 108.94052
34.27679, 108.94017
34.27678, 108.93981
34.27678, 108.93947
34.27677, 108.93910
34.27676, 108.93867
34.27676, 108.93823
34.27675, 108.93778
34.27675, 108.93733
34.27690, 108.93696
34.27692, 108.93653
34.27691, 108.93567
34.27691, 108.93529
34.27696, 108.93499
34.27703, 108.93474
34.27702, 108.93441
34.27695, 108.93403
34.27689, 108.93365
34.27688, 108.93338
34.27696, 108.93319
34.27718, 108.93312
34.27754, 108.93314
34.27793, 108.93316
34.27833, 108.93318
34.27867, 108.93319
34.27880, 108.93319
34.27892, 108.93320
34.27918, 108.93321
34.27954, 108.93322
34.27972, 108.93322
34.27989, 108.93323
