latitude,longitude
34.24481, 108.93212
34.24458, 108.93212
34.24442, 108.93212
34.24419, 108.93218
34.24395, 108.93212
34.24368, 108.93212
34.24347, 108.93212
34.24306, 108.93212
34.24273, 108.93212
34.24242, 108.93212
34.24208, 108.93208
34.24181, 108.93206
34.24158, 108.93205
34.24141, 108.93204
34.24125, 108.93196
34.24125, 108.93175
34.24125, 108.93147
34.24125, 108.93118
34.24125, 108.93080
34.24125, 108.93046
34.24125, 108.93007
34.24125, 108.92968
34.24125, 108.92929
34.24125, 108.92891
34.24125, 108.92852
34.24125, 108.92811
34.24125, 108.92772
34.24124, 108.92734
34.24124, 108.92695
34.24124, 108.92658
34.24124, 108.92618
34.24124, 108.92580
34.24123, 108.92544
34.24123, 108.92510
34.24122, 108.92473
34.24122, 108.92439
34.24121, 108.92404
34.24120, 108.92375
34.24120, 108.92364
34.24120, 108.92354
34.24120, 108.92342
34.24121, 108.92323
34.24121, 108.92299
34.24121, 108.92273
34.24121, 108.92244
34.24121, 108.92212
34.24121, 108.92178
34.24121, 108.92141
34.24121, 108.92102
34.24121, 108.92060
34.24121, 108.92017
34.24121, 108.91975
34.24121, 108.91933
34.24121, 108.91890
34.24121, 108.91847
34.24120, 108.91802
34.24120, 108.91757
34.24120, 108.91715
34.24120, 108.91675
34.24119, 108.91633
34.24119, 108.91589
34.24119, 108.91543
34.24119, 108.91496
34.24119, 108.91449
34.24119, 108.91403
34.24119, 108.91358
34.24119, 108.91314
34.24120, 108.91270
34.24120, 108.91228
