latitude,longitude
34.20616, 108.93913
34.20640, 108.93908
34.20663, 108.93909
34.20688, 108.93909
34.20716, 108.93910
34.20740, 108.93910
34.20765, 108.93911
34.20787, 108.93911
34.20806, 108.93912
34.20823, 108.93912
34.20833, 108.93912
34.20851, 108.93913
34.20881, 108.93912
34.20889, 108.93912
34.20900, 108.93912
34.20911, 108.93912
34.20922, 108.93912
34.20932, 108.93912
34.20943, 108.93912
34.20952, 108.93912
34.20962, 108.93912
34.20972, 108.93912
34.20983, 108.93913
34.20993, 108.93913
34.21007, 108.93913
34.21019, 108.93914
34.21030, 108.93914
34.21047, 108.93914
34.21080, 108.93915
34.21097, 108.93914
34.21105, 108.93914
34.21118, 108.93913
34.21126, 108.93913
34.21142, 108.93913
34.21159, 108.93912
34.21176, 108.93912
34.21193, 108.93912
34.21205, 108.93912
34.21222, 108.93913
34.21244, 108.93913
34.21267, 108.93913
34.21293, 108.93913
34.21318, 108.93913
34.21332, 108.93912
34.21345, 108.93912
34.21358, 108.93912
34.21367, 108.93912
34.21386, 108.93912
34.21403, 108.93912
34.21419, 108.93912
34.21438, 108.93913
34.21454, 108.93913
34.21474, 108.93913
34.21496, 108.93913
34.21523, 108.93914
34.21560, 108.93914
34.21579, 108.93914
34.21587, 108.93913
34.21614, 108.93913
34.21636, 108.93913
34.21661, 108.93913
34.21690, 108.93912
34.21713, 108.93911
34.21732, 108.93911
34.21751, 108.93911
34.21764, 108.93911
34.21784, 108.93911
34.21803, 108.93911
34.21820, 108.93911
34.21833, 108.93911
34.21852, 108.93912
34.21873, 108.93912
34.21896, 108.93912
34.21919, 108.93913
34.21943, 108.93913
34.21967, 108.93913
34.21990, 108.93913
34.22014, 108.93914
34.22041, 108.93915
34.22072, 108.93915
34.22097, 108.93916
34.22121, 108.93916
34.22139, 108.93917
34.22149, 108.93917
34.22163, 108.93917
34.22175, 108.93918
34.22184, 108.93918
34.22196, 108.93918
34.22207, 108.93919
34.22215, 108.93919
34.22226, 108.93919
34.22243, 108.93920
34.22259, 108.93921
34.22273, 108.93921
34.22276, 108.93946
34.22276, 108.93969
34.22276, 108.93996
34.22276, 108.94031
34.22276, 108.94060
34.22276, 108.94096
34.22276, 108.94133
34.22276, 108.94168
34.22276, 108.94203
34.22276, 108.94235
34.22276, 108.94267
34.22276, 108.94302
34.22276, 108.94335
34.22276, 108.94367
34.22275, 108.94383
34.22275, 108.94399
34.22275, 108.94412
34.22275, 108.94439
34.22275, 108.94460
34.22275, 108.94480
34.22275, 108.94492
34.22275, 108.94522
34.22275, 108.94538
34.22275, 108.94558
34.22275, 108.94572
34.22275, 108.94587
34.22275, 108.94607
34.22275, 108.94619
34.22275, 108.94634
34.22275, 108.94643
34.22275, 108.94659
34.22276, 108.94670
34.22295, 108.94683
34.22311, 108.94683
34.22330, 108.94683
34.22356, 108.94683
34.22382, 108.94683
34.22409, 108.94683
34.22433, 108.94683
34.22464, 108.94684
34.22488, 108.94684
34.22503, 108.94684
34.22530, 108.94684
34.22552, 108.94685
34.22575, 108.94685
34.22588, 108.94685
34.22602, 108.94685
34.22626, 108.94685
34.22651, 108.94686
34.22679, 108.94686
34.22702, 108.94686
34.22727, 108.94686
34.22764, 108.94687
34.22782, 108.94687
34.22801, 108.94688
34.22824, 108.94688
34.22850, 108.94688
34.22879, 108.94688
34.22911, 108.94687
34.22942, 108.94687
34.23003, 108.94689
34.23031, 108.94689
34.23061, 108.94690
34.23089, 108.94690
34.23116, 108.94690
34.23147, 108.94690
34.23177, 108.94690
34.23207, 108.94689
34.23236, 108.94689
34.23261, 108.94689
34.23287, 108.94690
34.23314, 108.94690
34.23342, 108.94690
34.23361, 108.94690
34.23376, 108.94690
34.23406, 108.94690
34.23418, 108.94690
34.23438, 108.94691
34.23459, 108.94691
34.23471, 108.94691
34.23484, 108.94691
34.23497, 108.94691
34.23509, 108.94691
34.23523, 108.94691
34.23543, 108.94691
34.23564, 108.94691
34.23610, 108.94691
34.23636, 108.94691
34.23662, 108.94691
34.23684, 108.94691
34.23707, 108.94692
34.23726, 108.94692
34.23747, 108.94692
34.23768, 108.94692
34.23788, 108.94692
34.23813, 108.94692
34.23837, 108.94692
34.23860, 108.94692
34.23878, 108.94692
34.23896, 108.94692
34.23908, 108.94692
34.23918, 108.94692
34.23936, 108.94693
34.23944, 108.94693
34.23957, 108.94693
34.23979, 108.94693
34.23992, 108.94693
34.24004, 108.94693
34.24020, 108.94694
34.24030, 108.94696
34.24041, 108.94701
34.24055, 108.94702
34.24066, 108.94702
34.24076, 108.94702
34.24083, 108.94703
34.24103, 108.94703
34.24122, 108.94704
34.24146, 108.94696
34.24171, 108.94697
34.24198, 108.94697
34.24224, 108.94698
34.24247, 108.94698
34.24273, 108.94699
34.24300, 108.94705
34.24327, 108.94704
34.24353, 108.94704
34.24382, 108.94703
34.24411, 108.94703
34.24442, 108.94699
34.24475, 108.94699
34.24506, 108.94700
34.24536, 108.94699
34.24565, 108.94699
34.24593, 108.94699
34.24620, 108.94699
34.24648, 108.94699
34.24676, 108.94699
34.24707, 108.94699
34.24736, 108.94699
34.24764, 108.94699
34.24792, 108.94700
34.24817, 108.94700
34.24839, 108.94703
34.24861, 108.94713
34.24872, 108.94721
34.24881, 108.94732
34.24893, 108.94751
34.24902, 108.94757
34.24920, 108.94764
34.24938, 108.94767
34.24957, 108.94768
34.24978, 108.94769
34.24996, 108.94770
34.25018, 108.94771
34.25033, 108.94771
