latitude,longitude
34.24112, 108.94843
34.24112, 108.94855
34.24112, 108.94874
34.24112, 108.94884
34.24112, 108.94907
34.24112, 108.94929
34.24112, 108.94955
34.24112, 108.94983
34.24112, 108.95012
34.24112, 108.95032
34.24112, 108.95051
34.24112, 108.95072
34.24112, 108.95099
34.24113, 108.95129
34.24113, 108.95163
34.24113, 108.95197
34.24113, 108.95233
34.24114, 108.95267
34.24114, 108.95297
34.24114, 108.95325
34.24114, 108.95350
34.24114, 108.95368
34.24114, 108.95383
34.24114, 108.95396
34.24114, 108.95405
34.24114, 108.95422
34.24115, 108.95442
34.24115, 108.95465
34.24116, 108.95496
34.24116, 108.95527
34.24116, 108.95559
34.24116, 108.95591
34.24116, 108.95622
34.24116, 108.95648
34.24117, 108.95669
34.24117, 108.95679
34.24117, 108.95697
34.24118, 108.95718
34.24118, 108.95741
34.24118, 108.95771
34.24119, 108.95803
34.24119, 108.95836
34.24119, 108.95870
34.24120, 108.95903
34.24120, 108.95931
34.24120, 108.95955
34.24120, 108.95985
34.24120, 108.96013
34.24120, 108.96027
34.24120, 108.96040
34.24120, 108.96054
34.24120, 108.96074
34.24120, 108.96095
34.24120, 108.96113
34.24120, 108.96128
34.24120, 108.96138
34.24120, 108.96156
34.24120, 108.96177
34.24120, 108.96204
34.24120, 108.96238
34.24120, 108.96278
34.24120, 108.96304
34.24120, 108.96313
34.24120, 108.96333
34.24120, 108.96355
34.24120, 108.96379
34.24120, 108.96405
34.24120, 108.96436
34.24120, 108.96467
34.24120, 108.96500
34.24120, 108.96533
34.24120, 108.96565
34.24119, 108.96595
34.24119, 108.96630
34.24118, 108.96662
34.24118, 108.96695
34.24118, 108.96731
34.24118, 108.96772
34.24118, 108.96816
34.24118, 108.96855
34.24118, 108.96879
34.24118, 108.96892
34.24118, 108.96924
34.24118, 108.96949
34.24118, 108.96984
34.24118, 108.97020
34.24119, 108.97102
34.24119, 108.97142
34.24119, 108.97179
34.24119, 108.97202
34.24119, 108.97216
34.24119, 108.97232
34.24119, 108.97241
34.24119, 108.97261
34.24119, 108.97293
34.24119, 108.97317
34.24120, 108.97346
34.24120, 108.97381
34.24120, 108.97417
34.24120, 108.97456
34.24121, 108.97497
34.24121, 108.97538
34.24122, 108.97571
34.24122, 108.97594
34.24122, 108.97614
34.24122, 108.97659
34.24122, 108.97691
34.24122, 108.97724
34.24123, 108.97759
34.24123, 108.97794
34.24122, 108.97863
34.24122, 108.97888
34.24122, 108.97900
34.24122, 108.97921
34.24122, 108.97929
34.24138, 108.97941
34.24156, 108.97941
34.24176, 108.97940
34.24203, 108.97940
34.24232, 108.97939
34.24266, 108.97939
34.24303, 108.97938
34.24339, 108.97938
34.24376, 108.97938
34.24415, 108.97938
34.24453, 108.97938
34.24489, 108.97938
34.24518, 108.97938
34.24531, 108.97938
34.24549, 108.97938
34.24564, 108.97938
34.24585, 108.97938
34.24613, 108.97938
34.24645, 108.97938
34.24682, 108.97938
34.24720, 108.97938
34.24762, 108.97938
34.24804, 108.97939
34.24847, 108.97939
34.24887, 108.97939
34.24925, 108.97938
34.24959, 108.97937
34.24985, 108.97936
34.25012, 108.97935
34.25032, 108.97934
34.25052, 108.97934
34.25078, 108.97934
34.25100, 108.97946
34.25101, 108.97962
34.25101, 108.97982
34.25101, 108.98005
34.25101, 108.98032
34.25101, 108.98057
34.25101, 108.98072
34.25101, 108.98087
34.25101, 108.98101
34.25101, 108.98113
34.25101, 108.98126
34.25101, 108.98142
34.25101, 108.98162
34.25101, 108.98186
34.25101, 108.98215
34.25101, 108.98241
34.25101, 108.98256
34.25101, 108.98271
34.25101, 108.98290
34.25101, 108.98309
34.25101, 108.98331
34.25101, 108.98362
34.25101, 108.98397
34.25101, 108.98436
34.25101, 108.98478
34.25101, 108.98519
34.25103, 108.98557
34.25104, 108.98593
34.25105, 108.98627
34.25107, 108.98667
34.25108, 108.98682
34.25108, 108.98694
34.25108, 108.98709
34.25109, 108.98726
34.25109, 108.98747
34.25110, 108.98771
34.25111, 108.98794
34.25108, 108.98818
34.25106, 108.98835
34.25106, 108.98855
34.25105, 108.98878
34.25105, 108.98904
34.25105, 108.98926
34.25105, 108.98951
34.25105, 108.98981
34.25105, 108.99011
34.25105, 108.99042
34.25105, 108.99073
34.25105, 108.99101
34.25105, 108.99123
34.25105, 108.99141
34.25105, 108.99158
34.25105, 108.99174
34.25105, 108.99198
34.25105, 108.99218
34.25105, 108.99242
34.25105, 108.99263
34.25105, 108.99283
34.25105, 108.99301
34.25105, 108.99311
34.25105, 108.99320
