latitude,longitude
34.23828, 108.96083
34.23828, 108.96101
34.23828, 108.96122
34.23828, 108.96168
34.23829, 108.96210
34.23829, 108.96255
34.23829, 108.96290
34.23829, 108.96327
34.23829, 108.96352
34.23829, 108.96361
34.23848, 108.96370
34.23871, 108.96369
34.23894, 108.96369
34.23920, 108.96368
34.23949, 108.96367
34.23985, 108.96367
34.24021, 108.96365
34.24055, 108.96364
34.24074, 108.96363
34.24082, 108.96363
34.24089, 108.96362
34.24112, 108.96362
34.24134, 108.96362
34.24158, 108.96361
34.24213, 108.96361
34.24234, 108.96360
34.24258, 108.96360
34.24277, 108.96360
34.24299, 108.96360
34.24327, 108.96360
34.24358, 108.96360
34.24392, 108.96358
34.24431, 108.96357
34.24466, 108.96357
34.24503, 108.96356
34.24538, 108.96355
34.24570, 108.96355
34.24601, 108.96355
34.24633, 108.96354
34.24668, 108.96353
34.24703, 108.96352
34.24770, 108.96351
34.24806, 108.96349
34.24846, 108.96348
34.24882, 108.96347
34.24914, 108.96347
34.24946, 108.96347
34.24975, 108.96347
34.25006, 108.96347
34.25038, 108.96347
34.25066, 108.96347
34.25090, 108.96347
34.25117, 108.96346
34.25147, 108.96345
34.25180, 108.96344
34.25214, 108.96342
34.25244, 108.96341
34.25277, 108.96340
34.25312, 108.96339
34.25348, 108.96337
34.25382, 108.96336
34.25417, 108.96336
34.25452, 108.96334
34.25526, 108.96333
34.25564, 108.96331
34.25608, 108.96329
34.25650, 108.96327
34.25692, 108.96325
34.25777, 108.96321
34.25825, 108.96321
34.25869, 108.96321
34.25911, 108.96321
34.25949, 108.96322
34.25985, 108.96321
34.26025, 108.96320
34.26069, 108.96319
34.26117, 108.96317
34.26161, 108.96315
34.26205, 108.96315
34.26245, 108.96315
34.26289, 108.96315
34.26321, 108.96314
34.26340, 108.96314
34.26353, 108.96314
34.26368, 108.96314
34.26376, 108.96314
34.26394, 108.96313
34.26406, 108.96313
34.26423, 108.96313
34.26473, 108.96312
34.26503, 108.96311
34.26534, 108.96309
34.26563, 108.96307
34.26593, 108.96305
34.26619, 108.96305
34.26644, 108.96305
34.26664, 108.96304
34.26689, 108.96304
34.26709, 108.96304
34.26717, 108.96303
34.26742, 108.96303
34.26767, 108.96302
34.26796, 108.96301
34.26819, 108.96301
34.26851, 108.96300
34.26885, 108.96300
34.26917, 108.96299
34.26929, 108.96299
