latitude,longitude
34.26962, 108.99719
34.26961, 108.99723
34.26961, 108.99728
34.26961, 108.99735
34.26961, 108.99744
34.26961, 108.99751
34.26961, 108.99745
34.26961, 108.99737
34.26961, 108.99724
34.26961, 108.99719
34.26961, 108.99727
34.26961, 108.99737
34.26961, 108.99745
34.26961, 108.99735
34.26961, 108.99726
34.26962, 108.99717
34.26962, 108.99707
34.26962, 108.99697
34.26962, 108.99687
34.26962, 108.99673
34.26962, 108.99646
34.26962, 108.99625
34.26962, 108.99577
34.26962, 108.99551
34.26961, 108.99528
34.26961, 108.99509
34.26961, 108.99494
34.26961, 108.99483
34.26948, 108.99473
34.26948, 108.99481
34.26948, 108.99478
34.26948, 108.99489
34.26948, 108.99494
34.26948, 108.99491
34.26891, 108.99541
34.26882, 108.99541
34.26842, 108.99504
34.26836, 108.99497
34.26818, 108.99508
34.26771, 108.99539
34.26744, 108.99539
34.26731, 108.99539
34.26700, 108.99541
34.26665, 108.99543
34.26631, 108.99543
34.26605, 108.99543
34.26589, 108.99543
34.26569, 108.99542
34.26551, 108.99542
34.26534, 108.99542
34.26521, 108.99542
34.26496, 108.99542
34.26474, 108.99542
34.26448, 108.99542
34.26424, 108.99542
34.26404, 108.99542
34.26373, 108.99542
34.26350, 108.99551
34.26330, 108.99551
34.26301, 108.99551
34.26272, 108.99553
34.26244, 108.99552
34.26219, 108.99552
34.26193, 108.99552
34.26156, 108.99552
34.26132, 108.99552
34.26091, 108.99556
34.26051, 108.99570
34.26032, 108.99583
34.26001, 108.99609
34.25985, 108.99622
34.25952, 108.99646
34.25918, 108.99663
34.25848, 108.99669
34.25819, 108.99669
34.25798, 108.99669
34.25763, 108.99668
34.25746, 108.99667
34.25707, 108.99667
34.25672, 108.99667
34.25654, 108.99668
34.25620, 108.99669
34.25606, 108.99669
34.25578, 108.99669
34.25548, 108.99668
34.25535, 108.99668
34.25510, 108.99668
34.25487, 108.99667
34.25463, 108.99661
34.25441, 108.99656
34.25427, 108.99656
34.25402, 108.99656
34.25390, 108.99656
34.25356, 108.99656
34.25318, 108.99656
34.25297, 108.99656
34.25249, 108.99656
34.25227, 108.99656
34.25188, 108.99657
34.25179, 108.99657
34.25166, 108.99657
34.25156, 108.99657
34.25147, 108.99657
34.25154, 108.99657
34.25142, 108.99657
34.25134, 108.99657
34.25127, 108.99652
34.25115, 108.99649
34.25095, 108.99648
34.25084, 108.99648
34.25074, 108.99648
34.25062, 108.99648
34.25047, 108.99648
34.25038, 108.99648
34.25009, 108.99648
34.24994, 108.99647
34.24979, 108.99646
34.24957, 108.99645
34.24916, 108.99643
34.24894, 108.99641
34.24878, 108.99641
34.24844, 108.99639
34.24832, 108.99638
34.24792, 108.99650
34.24776, 108.99649
