latitude,longitude
34.25815, 108.94709
34.25819, 108.94709
34.25830, 108.94709
34.25840, 108.94709
34.25848, 108.94709
34.25857, 108.94709
34.25872, 108.94709
34.25887, 108.94710
34.25901, 108.94717
34.25911, 108.94735
34.25926, 108.94749
34.25939, 108.94764
34.25952, 108.94762
34.25972, 108.94738
34.26002, 108.94715
34.26022, 108.94715
34.26079, 108.94717
34.26114, 108.94717
34.26152, 108.94717
34.26189, 108.94717
34.26229, 108.94717
34.26266, 108.94717
34.26299, 108.94718
34.26330, 108.94718
34.26356, 108.94719
34.26370, 108.94720
34.26380, 108.94720
34.26388, 108.94720
34.26399, 108.94720
34.26407, 108.94720
34.26417, 108.94720
34.26425, 108.94720
34.26433, 108.94720
34.26453, 108.94721
34.26468, 108.94721
34.26489, 108.94721
34.26516, 108.94721
34.26543, 108.94722
34.26572, 108.94722
34.26603, 108.94722
34.26639, 108.94722
34.26673, 108.94723
34.26708, 108.94724
34.26745, 108.94724
34.26775, 108.94724
34.26799, 108.94724
34.26811, 108.94724
34.26825, 108.94724
34.26840, 108.94724
34.26857, 108.94724
34.26872, 108.94724
34.26887, 108.94725
34.26900, 108.94725
34.26910, 108.94725
34.26918, 108.94725
34.26926, 108.94725
34.26935, 108.94726
34.26944, 108.94726
34.26955, 108.94726
34.26969, 108.94726
34.26987, 108.94727
34.27006, 108.94727
34.27029, 108.94727
34.27065, 108.94727
34.27101, 108.94727
34.27134, 108.94728
34.27164, 108.94728
34.27193, 108.94729
34.27225, 108.94729
34.27258, 108.94730
34.27293, 108.94730
34.27324, 108.94731
34.27353, 108.94731
34.27377, 108.94732
34.27397, 108.94732
34.27427, 108.94732
34.27454, 108.94732
34.27481, 108.94732
34.27501, 108.94732
34.27519, 108.94732
34.27527, 108.94747
34.27540, 108.94769
34.27567, 108.94786
34.27592, 108.94788
34.27609, 108.94788
34.27621, 108.94788
34.27636, 108.94788
34.27647, 108.94786
34.27658, 108.94785
34.27670, 108.94781
34.27686, 108.94774
34.27696, 108.94760
34.27705, 108.94740
34.27734, 108.94730
34.27753, 108.94730
34.27771, 108.94730
34.27794, 108.94731
34.27829, 108.94731
34.27859, 108.94731
34.27883, 108.94731
34.27906, 108.94731
34.27923, 108.94730
34.27936, 108.94730
34.27943, 108.94730
34.27956, 108.94730
34.27965, 108.94730
