latitude,longitude
34.27252, 108.99583
34.27263, 108.99583
34.27283, 108.99582
34.27302, 108.99582
34.27321, 108.99593
34.27342, 108.99593
34.27372, 108.99593
34.27394, 108.99593
34.27424, 108.99593
34.27457, 108.99593
34.27491, 108.99593
34.27523, 108.99593
34.27559, 108.99593
34.27597, 108.99593
34.27631, 108.99593
34.27664, 108.99580
34.27696, 108.99579
34.27715, 108.99579
34.27726, 108.99579
34.27720, 108.99579
34.27745, 108.99579
34.27763, 108.99578
34.27777, 108.99578
34.27800, 108.99578
34.27823, 108.99578
34.27846, 108.99578
34.27872, 108.99578
