latitude,longitude
34.24143, 108.96594
34.24157, 108.96594
34.24178, 108.96593
34.24203, 108.96593
34.24233, 108.96592
34.24261, 108.96592
34.24287, 108.96591
34.24314, 108.96590
34.24347, 108.96590
34.24373, 108.96589
34.24381, 108.96589
34.24400, 108.96589
34.24423, 108.96588
34.24452, 108.96587
34.24477, 108.96587
34.24501, 108.96586
34.24523, 108.96586
34.24550, 108.96585
34.24568, 108.96584
34.24585, 108.96584
34.24600, 108.96584
34.24603, 108.96568
34.24603, 108.96548
34.24602, 108.96529
34.24602, 108.96499
34.24602, 108.96471
34.24602, 108.96443
34.24602, 108.96419
34.24602, 108.96406
34.24602, 108.96392
34.24602, 108.96382
34.24611, 108.96354
34.24630, 108.96354
34.24650, 108.96353
34.24679, 108.96352
34.24711, 108.96352
34.24746, 108.96351
34.24782, 108.96350
34.24819, 108.96349
34.24858, 108.96347
34.24900, 108.96347
34.24942, 108.96347
34.24982, 108.96347
34.25017, 108.96347
34.25041, 108.96347
34.25051, 108.96347
34.25058, 108.96347
34.25070, 108.96347
34.25093, 108.96347
34.25113, 108.96346
34.25133, 108.96345
34.25160, 108.96344
34.25185, 108.96343
34.25208, 108.96342
34.25229, 108.96341
34.25253, 108.96341
34.25279, 108.96340
34.25303, 108.96339
34.25319, 108.96338
