latitude,longitude
34.27802, 108.99542
34.27793, 108.99542
34.27783, 108.99542
34.27763, 108.99542
34.27737, 108.99542
34.27719, 108.99542
34.27697, 108.99542
34.27671, 108.99543
34.27640, 108.99543
34.27608, 108.99543
34.27574, 108.99543
34.27546, 108.99544
34.27512, 108.99544
34.27480, 108.99544
34.27446, 108.99544
34.27412, 108.99544
34.27364, 108.99544
34.27333, 108.99544
34.27301, 108.99544
34.27274, 108.99544
34.27246, 108.99544
34.27225, 108.99530
34.27207, 108.99530
34.27175, 108.99530
34.27144, 108.99530
34.27108, 108.99530
34.27068, 108.99530
34.27042, 108.99530
34.27003, 108.99530
34.26991, 108.99530
34.26978, 108.99533
34.26971, 108.99536
34.26952, 108.99541
34.26931, 108.99541
34.26907, 108.99541
34.26879, 108.99541
34.26850, 108.99541
34.26790, 108.99540
34.26759, 108.99539
34.26730, 108.99539
34.26706, 108.99540
34.26685, 108.99542
34.26659, 108.99543
34.26631, 108.99543
34.26601, 108.99545
34.26573, 108.99545
34.26545, 108.99542
34.26514, 108.99542
34.26482, 108.99542
34.26450, 108.99542
34.26419, 108.99542
34.26389, 108.99542
34.26355, 108.99551
34.26322, 108.99551
34.26286, 108.99552
34.26246, 108.99545
34.26211, 108.99540
34.26176, 108.99540
34.26138, 108.99540
34.26104, 108.99544
34.26074, 108.99548
34.26043, 108.99549
34.26031, 108.99546
34.26015, 108.99549
34.26001, 108.99559
34.25993, 108.99578
34.25978, 108.99602
34.25954, 108.99622
34.25930, 108.99638
34.25910, 108.99652
34.25904, 108.99666
34.25907, 108.99693
34.25930, 108.99730
34.25928, 108.99757
34.25926, 108.99789
