latitude,longitude
34.27977, 108.93309
34.27959, 108.93308
34.27939, 108.93306
34.27916, 108.93304
34.27893, 108.93302
34.27868, 108.93300
34.27844, 108.93299
34.27814, 108.93298
34.27782, 108.93296
34.27755, 108.93296
34.27732, 108.93295
34.27712, 108.93295
34.27692, 108.93294
34.27680, 108.93267
34.27682, 108.93246
34.27685, 108.93233
34.27688, 108.93217
34.27691, 108.93202
34.27695, 108.93182
34.27699, 108.93165
34.27702, 108.93144
34.27702, 108.93132
34.27697, 108.93115
34.27689, 108.93107
34.27668, 108.93108
34.27658, 108.93119
34.27653, 108.93130
34.27649, 108.93143
34.27649, 108.93152
34.27649, 108.93165
34.27649, 108.93185
34.27649, 108.93200
34.27649, 108.93217
34.27649, 108.93239
34.27649, 108.93248
34.27649, 108.93265
34.27649, 108.93285
34.27650, 108.93294
34.27640, 108.93298
34.27621, 108.93298
34.27601, 108.93298
34.27577, 108.93299
34.27552, 108.93299
34.27526, 108.93299
34.27498, 108.93297
34.27470, 108.93296
34.27442, 108.93296
34.27422, 108.93295
34.27410, 108.93295
34.27404, 108.93294
34.27392, 108.93294
34.27375, 108.93293
34.27368, 108.93293
34.27361, 108.93315
34.27361, 108.93335
34.27360, 108.93359
34.27360, 108.93389
34.27360, 108.93423
34.27360, 108.93456
34.27360, 108.93486
34.27360, 108.93514
34.27360, 108.93543
34.27361, 108.93576
34.27361, 108.93604
34.27361, 108.93625
34.27361, 108.93645
34.27358, 108.93670
34.27358, 108.93693
34.27358, 108.93713
34.27357, 108.93730
34.27357, 108.93744
34.27357, 108.93760
34.27357, 108.93783
34.27357, 108.93805
34.27357, 108.93814
34.27357, 108.93829
34.27357, 108.93852
34.27357, 108.93878
34.27359, 108.93896
34.27360, 108.93911
34.27360, 108.93932
34.27360, 108.93958
34.27361, 108.93981
34.27360, 108.94001
34.27360, 108.94015
34.27360, 108.94040
34.27360, 108.94062
34.27360, 108.94083
34.27360, 108.94101
34.27360, 108.94133
34.27360, 108.94152
34.27360, 108.94175
34.27360, 108.94201
34.27360, 108.94225
