latitude,longitude
34.22278, 108.92399
34.22277, 108.92412
34.22276, 108.92438
34.22276, 108.92468
34.22276, 108.92498
34.22276, 108.92535
34.22276, 108.92575
34.22276, 108.92608
34.22276, 108.92634
34.22276, 108.92663
34.22276, 108.92699
34.22276, 108.92738
34.22276, 108.92778
34.22276, 108.92820
34.22276, 108.92862
34.22276, 108.92943
34.22276, 108.92983
34.22276, 108.93015
34.22276, 108.93029
34.22276, 108.93055
34.22276, 108.93094
34.22276, 108.93116
34.22276, 108.93142
34.22276, 108.93166
34.22276, 108.93187
34.22276, 108.93214
34.22276, 108.93246
34.22275, 108.93276
34.22275, 108.93302
34.22275, 108.93324
34.22275, 108.93352
34.22275, 108.93386
34.22275, 108.93426
34.22275, 108.93467
34.22275, 108.93503
34.22275, 108.93538
34.22275, 108.93569
34.22275, 108.93597
34.22275, 108.93621
34.22275, 108.93681
34.22275, 108.93710
34.22275, 108.93737
34.22275, 108.93763
34.22275, 108.93791
34.22275, 108.93812
34.22275, 108.93823
34.22275, 108.93843
34.22275, 108.93853
34.22275, 108.93868
34.22275, 108.93898
34.22276, 108.93915
34.22276, 108.93929
34.22276, 108.93948
34.22276, 108.93966
34.22276, 108.93986
34.22276, 108.94000
34.22276, 108.94012
34.22276, 108.94021
34.22276, 108.94034
34.22276, 108.94053
34.22276, 108.94071
34.22276, 108.94098
34.22276, 108.94124
34.22276, 108.94145
34.22276, 108.94155
34.22276, 108.94171
34.22276, 108.94184
34.22276, 108.94226
34.22276, 108.94238
34.22276, 108.94252
34.22276, 108.94269
34.22276, 108.94289
34.22276, 108.94300
34.22276, 108.94322
34.22276, 108.94342
34.22276, 108.94353
34.22276, 108.94365
34.22276, 108.94374
34.22275, 108.94386
34.22275, 108.94408
34.22275, 108.94425
34.22275, 108.94435
34.22275, 108.94444
34.22275, 108.94458
34.22275, 108.94468
34.22275, 108.94478
34.22275, 108.94493
34.22275, 108.94513
34.22275, 108.94525
34.22275, 108.94536
34.22275, 108.94547
34.22275, 108.94566
34.22275, 108.94590
34.22275, 108.94614
34.22275, 108.94639
34.22275, 108.94662
34.22276, 108.94683
34.22275, 108.94707
34.22275, 108.94731
34.22275, 108.94747
34.22275, 108.94759
34.22275, 108.94774
