latitude,longitude
34.20587, 108.92829
34.20615, 108.92829
34.20645, 108.92828
34.20707, 108.92827
34.20738, 108.92827
34.20770, 108.92827
34.20803, 108.92827
34.20835, 108.92827
34.20867, 108.92828
34.20896, 108.92827
34.20927, 108.92827
34.20957, 108.92828
34.20990, 108.92828
34.21023, 108.92828
34.21054, 108.92828
34.21084, 108.92828
34.21114, 108.92828
34.21142, 108.92828
34.21170, 108.92829
34.21189, 108.92829
34.21191, 108.92804
34.21191, 108.92777
34.21191, 108.92745
34.21191, 108.92707
34.21191, 108.92665
34.21191, 108.92627
34.21191, 108.92586
34.21191, 108.92549
34.21192, 108.92510
34.21192, 108.92474
34.21192, 108.92442
34.21192, 108.92414
34.21193, 108.92393
34.21194, 108.92384
34.21195, 108.92373
34.21196, 108.92360
34.21196, 108.92335
34.21196, 108.92311
34.21196, 108.92282
34.21196, 108.92249
34.21196, 108.92216
34.21196, 108.92187
34.21196, 108.92155
34.21196, 108.92121
34.21196, 108.92086
34.21196, 108.92054
34.21196, 108.92025
34.21197, 108.92001
34.21197, 108.91975
34.21197, 108.91951
34.21197, 108.91928
34.21196, 108.91900
34.21196, 108.91863
34.21196, 108.91829
34.21196, 108.91802
34.21196, 108.91773
34.21196, 108.91745
34.21196, 108.91676
34.21196, 108.91632
34.21195, 108.91589
34.21194, 108.91544
34.21193, 108.91499
34.21193, 108.91456
34.21192, 108.91413
34.21192, 108.91371
34.21191, 108.91329
34.21191, 108.91290
34.21191, 108.91253
34.21191, 108.91177
34.21191, 108.91140
