latitude,longitude
34.21875, 108.93194
34.21884, 108.93194
34.21899, 108.93194
34.21919, 108.93194
34.21945, 108.93194
34.21978, 108.93194
34.22010, 108.93194
34.22041, 108.93194
34.22075, 108.93194
34.22108, 108.93193
34.22140, 108.93194
34.22172, 108.93195
34.22202, 108.93197
34.22228, 108.93198
34.22249, 108.93199
34.22266, 108.93199
34.22276, 108.93224
34.22275, 108.93254
34.22275, 108.93287
34.22275, 108.93331
34.22275, 108.93377
34.22275, 108.93430
34.22275, 108.93516
34.22275, 108.93558
34.22275, 108.93597
34.22275, 108.93634
34.22275, 108.93670
34.22275, 108.93708
34.22275, 108.93743
34.22275, 108.93777
34.22275, 108.93809
34.22275, 108.93834
34.22275, 108.93860
34.22275, 108.93889
34.22276, 108.93916
34.22276, 108.93941
34.22276, 108.93967
34.22276, 108.93997
34.22276, 108.94022
34.22276, 108.94041
34.22276, 108.94058
34.22276, 108.94073
34.22276, 108.94094
34.22276, 108.94118
34.22276, 108.94144
34.22276, 108.94171
34.22276, 108.94195
34.22282, 108.94207
34.22288, 108.94195
34.22288, 108.94185
34.22288, 108.94160
34.22288, 108.94132
34.22288, 108.94114
