latitude,longitude
34.27988, 108.93310
34.27966, 108.93308
34.27939, 108.93306
34.27916, 108.93304
34.27898, 108.93302
34.27873, 108.93301
34.27842, 108.93299
34.27811, 108.93298
34.27748, 108.93295
34.27723, 108.93295
34.27712, 108.93295
34.27702, 108.93294
34.27689, 108.93293
34.27683, 108.93285
34.27680, 108.93274
34.27680, 108.93261
34.27684, 108.93237
34.27687, 108.93222
34.27690, 108.93206
34.27694, 108.93187
34.27697, 108.93174
34.27699, 108.93160
34.27702, 108.93139
34.27699, 108.93126
34.27696, 108.93114
34.27678, 108.93105
34.27667, 108.93108
34.27659, 108.93117
34.27649, 108.93144
34.27649, 108.93156
34.27649, 108.93171
34.27649, 108.93190
34.27649, 108.93208
34.27649, 108.93229
34.27649, 108.93238
34.27649, 108.93251
34.27649, 108.93269
34.27636, 108.93290
34.27616, 108.93290
34.27590, 108.93290
34.27568, 108.93290
34.27525, 108.93289
34.27500, 108.93288
34.27471, 108.93287
34.27444, 108.93286
34.27424, 108.93286
34.27411, 108.93285
34.27400, 108.93284
34.27388, 108.93284
34.27374, 108.93283
34.27357, 108.93282
34.27329, 108.93282
34.27299, 108.93282
34.27264, 108.93281
34.27230, 108.93281
34.27198, 108.93280
34.27170, 108.93279
34.27145, 108.93278
34.27121, 108.93277
34.27099, 108.93276
34.27077, 108.93276
34.27059, 108.93275
34.27048, 108.93275
34.27037, 108.93274
34.27027, 108.93274
34.27016, 108.93273
34.27003, 108.93272
